Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
84 - Auvergne-Rhône-Alpes	69 - Rhône	2 - Villefranche-sur-Saône	216902437 - Tarare	200040566	CA de l'Ouest Rhodanien	CA	0	0	2014-01-01	2014-01-01	RDC		31	51647	42	FPU	0	0	0		0		M.	Patrice	VERCHERE		3 Rue de la Venne		69170 TARARE	04 74 05 06 60	04 74 63 22 90	ccpt@cc-paysdetarare.fr		3 rue de la Venne			69170 TARARE	04 74 05 06 60	04 74 63 22 90	
84 - Auvergne-Rhône-Alpes	69 - Rhône	2 - Villefranche-sur-Saône	216902643 - Villefranche-sur-Saône	200040590	CA Villefranche Beaujolais Saône	CA	0	1	2014-01-01	2014-01-01	ACCOR		18	74314	48	FPU	0	0	0		0		M.	Pascal	RONZIERE	Mairie de Villefranche-sur-Saône	183 Rue de la Paix	BP 70419	69653 VILLEFRANCHE SUR SAONE	04 74 68 23 08	04 74 68 45 61	contact@cavil.fr		BP 290	115, rue Paul Bert		69665 VILLEFRANCHE SUR SAONE	04 74 68 23 08	04 74 68 45 61	
84 - Auvergne-Rhône-Alpes	69 - Rhône	2 - Villefranche-sur-Saône	216900092 - Anse	200040574	CC Beaujolais Pierres Dorées	CC	0	0	2014-01-01	2014-01-01	RDC		32	56442	24	FPU	0	0	0		0		M.	Daniel	POMERET	Domaine des communes	1277 Route des Crêtes	BP 10	69480 ANSE	04 74 67 00 25	04 74 67 00 71	contact@cc-beaujolais.com		Domaine des communes	Route des Crêtes	BP 10	69480 ANSE	04 74 67 00 25	04 74 67 00 71	
84 - Auvergne-Rhône-Alpes	69 - Rhône	1 - Lyon	216901553 - Pomeys	200066587	CC des Monts du Lyonnais	CC	0	1	2016-10-10	2017-01-01	ACCOR		32	36139	32	FPU	0	0	0		0		M.	Régis	CHAMBE	Château de Pluvy			69590 POMEYS	04 78 44 37 50	04 78 44 37 58	secretariat@cc-mdl.fr		Château de Pluvy			69590 PLUVY	04 37 20 13 09	    	
84 - Auvergne-Rhône-Alpes	69 - Rhône	2 - Villefranche-sur-Saône	200084416 - Belleville-en-Beaujolais	200067817	CC Saône-Beaujolais	CC	0	0	2016-11-16	2017-01-01	ACCOR		35	46073	32	FPU	0	0	0		0		M.	Jacky	MENICHON	Mairie de Belleville	105 Rue de la République		69220 BELLEVILLE	04 74 06 11 11	04 74 06 11 12						 	    	    	
84 - Auvergne-Rhône-Alpes	69 - Rhône	1 - Lyon	216902999 - Colombier-Saugnieu	246900575	CC de l'Est Lyonnais (CCEL)	CC	0	0	1993-12-29	1993-12-29	ACCOR		8	42936	26	FPU	0	1	0	 	0	 	M.	Paul	VIDAL	Aéroport Lyon Saint-Exupéry	40 Rue de Norvège		69125 Colombier-Saugnieu cedex	04 72 79 05 34	04 72 79 05 36	accueil-ccel@orange.fr		La colandière 55 avenue de la république BP 26			69742 GENAS	04 72 79 05 34	04 72 79 05 36	
84 - Auvergne-Rhône-Alpes	69 - Rhône	2 - Villefranche-sur-Saône	216900100 - L'Arbresle	246900625	CC du Pays de l'Arbresle (CCPA)	CC	0	0	1994-12-30	1994-12-30	ACCOR		17	39599	34	FPU	0	1	0	 	1	 	M.	Pierre-Jean	ZANNETTACCI		117 Rue Pierre Passemard 	BP 41	69592 ARBRESLE (L')	04 74 01 68 90	04 74 01 52 16	ccpa@cc-pays-arbresle.fr	www.cc-pays-arbresle.fr	117 rue de Pierre Passemard BP 41			69592 ARBRESLE (L')	04 74 01 68 90	04 74 01 52 16	
84 - Auvergne-Rhône-Alpes	69 - Rhône	1 - Lyon	200047785 - Vaugneray	246900724	CC des Vallons du Lyonnais (CCVL)	CC	0	0	1996-12-23	1996-12-23	ACCOR		8	32181	31	FPU	0	1	1	 	0	 	M.	Daniel	MALOSSE		27 Chemin du Stade		69670 VAUGNERAY	04 78 57 83 80	04 78 57 83 81	ccvl@ccvl.fr	www.ccvl.fr	20 chemin du stade			69670 VAUGNERAY	04 78 57 83 80	04 78 57 83 81	
84 - Auvergne-Rhône-Alpes	69 - Rhône	1 - Lyon	216901413 - Mornant	246900740	CC du Pays Mornantais (COPAMO)	CC	0	0	1996-12-26	1996-12-26	ACCOR		11	30280	26	FPU	0	1	0	 	1	 	M.	Renaud	PFEFFER	Le Clos Fournereau 	Route de Saint-Laurent-d'Agny 	BP 38	69440 MORNANT	04 78 44 14 39	04 78 44 08 80	administratif@cc-paysmornantais.fr	www.copamo.fr.st	le clos fournereau route de St laurent d'Agny BP38			69440 MORNANT	04 78 44 14 39	04 78 44 08 80	
84 - Auvergne-Rhône-Alpes	69 - Rhône	1 - Lyon	216900274 - Brignais	246900757	CC de la Vallée du Garon (CCVG)	CC	0	0	1996-12-23	1996-12-23	ACCOR		5	32888	24	FPU	0	1	0	 	1	 	Mme	Françoise	GAUQUELIN	Parc de Sacuny	262 Rue Barthélémy Thimonnier		69530 Brignais	    	    	ccvg.69@chello.fr		2, rue des Vallières Maison Forte			69390 VOURLES	04 72 31 78 72	    	
84 - Auvergne-Rhône-Alpes	69 - Rhône	1 - Lyon	216902916 - Saint-Symphorien-d'Ozon	246900765	CC du Pays de l'Ozon	CC	0	0	1997-11-26	1997-11-26	RDC		7	27632	28	FPU	0	1	0	 	0	 	M.	Pierre	BALLESIO		1 Rue du Stade		69360 SAINT SYMPHORIEN D'OZON	04 78 02 93 68	04 78 02 40 23	ccpo@pays-ozon.com		1 rue du stade			69360 SAINT SYMPHORIEN D'OZON	04 78 02 93 68	04 78 02 40 23	
84 - Auvergne-Rhône-Alpes	69 - Rhône	1 - Lyon	216901231 - Lyon	200046977	Métropole de Lyon	MET69	0	0	1968-08-27	1969-01-01	RDC		58	1439981	50	FPU	0	1	0		0	 	M.	Bruno	BERNARD	Hôtel de la Communauté 	20 Rue du Lac 	BP 3103	69399 LYON	04 78 63 40 40	04 78 71 09 63	gplaisant@grandlyon.org	www.grandlyon.com	hôtel de la communauté 20, rue du lac BP 3103			69399 LYON	04 78 63 40 40	04 78 71 09 63	
