Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
52 - Pays de la Loire	53 - Mayenne	2 - Laval	215301300 - Laval	200083392	Laval Agglomération	CA	0	0	2018-02-27	2019-01-01	RDC		34	118899	58	FPU	0	0	0		0		M.	Florian	BERCAULT	Hôtel Communautaire	1 Place du Général Ferrié		53008 LAVAL CEDEX	02 43 49 86 00	02 43 49 86 08	laval.agglo@agglo-laval.fr		1 place du Général Ferrié			53000 LAVAL	    	02 43 49 86 08	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	200084697 - Évron	200033298	CC des Coëvrons	CC	0	0	2012-08-31	2012-12-31	RDC		29	27460	29	FPU	0	1	1	 	0	 	M.	Joël	BALANDRAUD	Espace Coëvrons	Avenue Raoul Vadepied		53600 Châtres-la-Forêt	02 43 66 32 00	02 43 01 93 89	contact@coevrons.fr		Espace Coëvrons	avenue Raoul Vadepied	BP 130	53601 EVRON cedex	02 43 66 32 00	02 43 01 93 89	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	200057032 - Pré-en-Pail-Saint-Samson	200042182	CC du Mont des Avaloirs	CC	0	0	2014-01-01	2014-01-01	RDC		26	15970	37	FPU	0	1	1		0		Mme	Diane	ROULAND		1 Rue de la Corniche de Pail		53140 PRE EN PAIL	02 43 03 51 41	    	accueil@cc-avaloirs.fr		1 rue de la Corniche de Pail			53140 PRE EN PAIL	02 43 03 51 41	    	
52 - Pays de la Loire	53 - Mayenne	1 - Château-Gontier	215300849 - Craon	200048551	CC du Pays de Craon	CC	0	0	2014-11-05	2015-01-01	ACCOR		37	29323	45	FPU	1	0	0		1		M.	Christophe	LANGOUET	Centre Administratif Intercommunal - ZA de Villeneuve	1 Rue Buchenberg		53400 CRAON	02 43 09 61 61	02 43 09 61 69	paysdecraon@wanadoo.fr		Centre administratif intercommunal	ZA de Villeneuve		53400 CRAON	02 43 09 61 61	02 43 09 61 69	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215301474 - Mayenne	200055887	CC Mayenne Communauté	CC	0	0	2015-11-18	2016-01-01	RDC		33	37954	37	FPU	1	0	0		0		M.	Jean-Pierre	LE SCORNET	Mairie	10 Rue de Verdun		53100 MAYENNE CEDEX	02 43 30 21 21	02 43 30 21 10	pays.mayenne@wanadoo.fr					 	    	    	
52 - Pays de la Loire	53 - Mayenne	1 - Château-Gontier	215301524 - Meslay-du-Maine	245300223	CC du Pays de Meslay-Grez	CC	0	0	2000-12-26	2000-12-26	RDC		22	14104	42	FPU	1	1	1		0		M.	Jacky	CHAUVEAU		1 Voie de la Guiternière		53170 MESLAY DU MAINE	02 43 64 45 	02 43 98 75 52						 	    	02 43 98 75 52	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215300963 - Ernée	245300355	CC de l'Ernée	CC	0	0	1993-12-24	2012-01-03	ACCOR		15	20900	32	FPU	0	0	1	 	0	 	M.	Gilles	LIGOT	Parc des activités de la Querminais			53500 ERNEE	02 43 05 98 80	02 43 05 86 81	cc-lernee@wanadoo.fr		PARC DES ACTIVITES DE LA QUERMINAIS	BP 28		53500 ERNEE	02 43 05 98 80	02 43 05 86 81	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215301078 - Gorron	245300389	CC du Bocage Mayennais	CC	0	0	1993-12-17	2012-01-03	RDC		27	18738	29	FPU	1	0	1		0		M.	Bruno	LESTAS	Maison du bocage	1 Grande Rue		53120 GORRON	02 43 08 47 47	02 43 08 02 26	bocage.mayennais@wanadoo.fr		MAISON DU BOCAGE	1 GRANDE RUE		53120 GORRON	02 43 08 47 47	02 43 08 02 26	
52 - Pays de la Loire	53 - Mayenne	1 - Château-Gontier	200084655 - Château-Gontier-sur-Mayenne	245300447	CC du Pays de Château-Gontier	CC	0	0	1999-12-28	2000-01-01	RDC		16	31023	30	FPU	1	1	0	 	1	 	M.	Philippe	HENRY	Hôtel de Ville et de pays	23 Place de la République		53200 CHATEAU-GONTIER	02 43 09 55 55	02 43 07 96 82	chateau-gontier@cc-chateau-gontier.fr	www.cc-chateau-gontier.fr	Hôtel de ville et de pays	23 place de la République		53200 CHATEAU-GONTIER	02 43 09 55 55	02 43 07 96 82	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215300740 - Contest	200007730	SIAEP de l'Anxure et de la Perche	SIVU	0	0	2006-12-29	2007-01-01	AUTR	2 délégués dans la limite de 500 abonnés ;au delà de ce seuil, 1 sup. par tranche de 500	5	2740	1	CBUDG	0	0	0	 	0	 	M.	Martial	TARLEVE	Mairie de Contest	20 Bis Rue Principale		53100 Contest	02 43 00 78 94	    	siaep.anxure.perche@orange.fr		Mairie			53100 CONTEST	02 43 00 78 94	02 43 00 18 02	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215301144 - Hardanges	200027365	Mont du Saule	SIVU	0	0	2010-11-29	2011-01-01	MEMNB		2	664	1	CBUDG	0	0	0	 	0	 	M.	Éric	NEVEU	Mairie			53640 HARDANGES	02 43 03 92 82	02 43 08 18 23	commune.hardanges@orange.fr		Mairie d'Hardanges	1 impasse de la Butte		53640 HARDANGES	02 13 03 92 82	02 43 08 18 23	
52 - Pays de la Loire	53 - Mayenne	2 - Laval	200055705 - Loiron-Ruillé	200029106	SIVU centre santé Pays de Loiron Sud	SIVU	0	0	2011-06-15	2011-06-15	MEMNB		3	3882	1	CBUFI	0	0	0	 	0	 	M.	Bernard	BOURGEAIS	Mairie			53320 Loiron	    	    	contact@loiron-ruille.fr		13 rue du Docteur Ramé	Loiron		53320 Loiron-Ruillé	02 43 02 10 24	02 43 02 40 44	
52 - Pays de la Loire	53 - Mayenne	1 - Château-Gontier	215300468 - Le Buret	255300402	SIVOS de Beaumont-Pied-de-B?uf - Le Buret - Préaux	SIVU	0	0	1980-08-19	1980-08-19	MEMNB		3	693	1	CBUDG	0	0	0		0		M.	Roland	FOUCAULT	Mairie de Le Buret			53170 LE BURET	02 43 98 55 69	02 43 98 55 69	mairie.le.buret@wanadoo.fr		MAIRIE DE LE BURET			53170 LE BURET	02 43 98 55 69	02 43 98 55 69	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215300724 - Commer	255300626	SIAEP de la région de Commer	SIVU	0	0	1961-04-19	2012-01-03	MEMNB		5	5144	1	CBUDG	0	0	0	 	0	 	M.	Mickaël	DELAHAYE	Mairie de Commer			53470 COMMER	02 43 00 45 30	02 43 00 70 53	mairie.commer@wanadoo.fr		MAIRIE	53470 COMMER		 	02 43 00 45 30	02 43 00 70 53	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215301227 - Jublains	255300634	SIAEP des communes de Grazay - Jublains - Marcillé-la-Ville	SIVU	0	0	1951-05-17	2012-01-03	MEMNB		3	2196	1	CBUDG	0	0	0	 	0	 	M.	Pierrick	TRANCHEVENT	Mairie de Jublains			53160 jublains	02 43 04 30 33	    	mairie.jublains@wanadoo.fr		Mairie  6 impasse Romaine			53160 JUBLAINS	02 43 04 30 33	    	
52 - Pays de la Loire	53 - Mayenne	1 - Château-Gontier	215301102 - Grez-en-Bouère	255301160	SIVOS du collège de Grez-en-Bouère	SIVU	0	0	1994-12-20	1995-01-01	POPUL		8	7383	1	CFISC	0	0	0	 	0	 	M.	Michel	GIRAUD	Mairie			53290 GREZ EN BOUERE	02 43 70 50 22	02 43 70 63 41	st_denis_danjou@cc-chateau-gontier.fr		Mairie	6 Route d'Angers		53290 SAINT DENIS D'ANJOU	02 43 70 52 19	02 43 70 63 41	
52 - Pays de la Loire	53 - Mayenne	2 - Laval	215301755 - Parné-sur-Roc	255301244	SIVU des petites cités de caractère	SIVU	0	0	1998-04-22	1998-04-22	POPUL		7	8144	1	CBUDG	0	0	0	 	0	 	M.	Jean	RAILLARD	Mairie de Parné-sur-Roc	1 Place du Prieuré		53260 PARNÉ-SUR-ROC	02 43 98 01 57	    	sg@mairieparne.fr		Mairie de Parné-sur-Roc	1 place du Prieuré		53260 PARNÉ-SUR-ROC	02 43 98 01 57	    	
52 - Pays de la Loire	53 - Mayenne	2 - Laval	215301755 - Parné-sur-Roc	255301285	Comité intercommunal pour l'animation de la jeunesse (CIPAJ)	SIVU	0	0	2002-12-31	2002-12-31	AUTR		2	2551	1	CFISC	0	0	0	 	0	 	Mme	Stéphanie	GAYRAUD	Mairie	1 Place du Prieuré		53260 PARNE SUR ROC	02 43 98 01 57	02 43 98 30 57	sivu.parne.force@orange.fr					 	02 43 98 01 57	02 43 98 30 57	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215302001 - Saint-Baudelle	255301327	SI sportif associatif et culturel	SIVU	0	0	2003-12-19	2003-12-19	MEMNB		2	2108	1	CBUDG	0	0	0	 	0	 	M.	Daniel	MONTAUFRAY	Mairie de Saint-Baudelle	7 Place de la Mairie		53100 SAINT BAUDELLE	02 43 00 06 26	02 43 00 06 26	st-baudelle@wanadoo.fr		MAIRIE DE SAINT BAUDELLE	7 place de la mairie		53100 SAINT BAUDELLE	02 43 00 06 26	02 43 00 06 26	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215300039 - Ambrières-les-Vallées	200003820	Syndicat Intercommunal d'Eau Potable et d'Assainissement Non Collectif de Colmont, Mayenne et Varenne	SIVOM	1	1	2006-06-27	2006-07-01	AUTR	2 délégués/collectivité dans la limite de 500 abonnés (eau potable). Au-delà un délégué supplémentaire par tranche de 500 abonnés	10	7936	2	CBUDG	0	0	0	 	0	 	M.	Marcel	BARBE	Mairie d'Ambrières-les-Vallées	6 Place du Château		53300 Ambrières-les-Vallées	02 43 08 27 04	    	siaep.comava@orange.fr		MAIRIE	6 place du  Château	BP 90034	53300 AMBRIERES LES VALLEES	02 43 08 85 57	02 43 08 85 57	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215301276 - Lassay-les-Châteaux	245300173	SIVOM de la région de Lassay	SIVOM	0	0	1964-03-17	2012-01-03	AUTR	1 délégué par collectivité dans la limite de 400 habitants par commune adhérente. Au-delà de ce seuil, 1 représentant supplémentaire par tranche de 400 habitants	6	3364	2	CBUDG	0	0	0	 	0	 	M.	Jean-Paul	COISNON		Place du 8 Mai		53110 LASSAY LES CHATEAUX	02 43 04 71 53	02 43 04 03 71	lassayleschateaux.mairie@wanadoo.fr		Place du 8 mai			53110 LASSAY LES CHATEAUX	02 43 04 71 53	02 43 04 03 71	
52 - Pays de la Loire	53 - Mayenne	1 - Château-Gontier	215300369 - Bouère	255301103	SIVOS de Bouère - Saint-Brice	SIVOM	0	0	1990-10-08	1990-10-08	MEMNB		2	1625	2	CBUDG	0	0	0	 	0	 	M.	Jacky	CHAUVEAU	Mairie de Bouère			53290 BOUERE	02 43 70 51 29	02 43 70 66 79	sivos.bouere.stbrice@orange.fr		MAIRIE DE BOUERE	2 rue Sencies		53290 BOUERE	02 43 70 51 29	02 43 70 66 79	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215301961 - Saint-Aignan-de-Couptrain	200044568	SIAEP des Avaloirs	SMF	0	0	2013-12-31	2014-01-01	POPUL		4	9523	1	CBUDG	0	0	0		0		M.	Jean-Luc	LECOURT	La Madeleine			53250 SAINT AIGNAN DE COUPTRAIN	02 43 03 85 29	09 63 01 94 56	siaep-desavaloirs@orange.fr		La Madeleine			53250 SAINT AIGNAN DE COUPTRAIN	02 43 03 85 29	09 63 01 94 56	
52 - Pays de la Loire	53 - Mayenne	3 - Mayenne	215301276 - Lassay-les-Châteaux	200044576	SIAEPAC de La Fontaine Rouillée	SMF	0	0	2013-12-31	2014-01-01	POPUL		5	2995	2	CBUDG	0	0	0		0		M.	Constant	ALLAIN	Mairie de Lassay-les-Châteaux	18 Place du 8 Mai 1945	BP 18 bis	53110 Lassay les Châteaux	02 43 04 67 22	    	siaepac.frouillee@orange.fr					 	02 43 04 67 22	    	
