Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
84 - Auvergne-Rhône-Alpes	15 - Cantal	1 - Aurillac	211500145 - Aurillac	241500230	CA du Bassin d'Aurillac	CA	0	0	1999-11-22	1999-11-22	ACCOR		25	55790	38	FPU	0	1	0	 	1	taxe séjour	M.	Pierre	MATHONIER		3 Place  des Carmes		15000 Aurillac	04 71 46 86 30	04 71 48 71 08			3, place des carmes			15000 AURILLAC	04 71 46 86 30	04 71 48 71 08	
84 - Auvergne-Rhône-Alpes	15 - Cantal	3 - Saint-Flour	200071702 - Murat	200066637	CC Hautes Terres	CC	0	0	2017-01-01	2017-01-01	RDC	Fusion-extension	35	11582	38	FPU	0	0	0		0		M.	Didier	ACHALME		4 Rue du Faubourg Notre-Dame		15300 Murat	04 71 20 22 62	    	alagnon@cybercantal.org					 	    	04 71 23 19 80	
84 - Auvergne-Rhône-Alpes	15 - Cantal	3 - Saint-Flour	211501879 - Saint-Flour	200066660	CC de Saint-Flour	CC	0	0	2017-01-01	2017-01-01	RDC		53	24379	48	FPU	0	0	0		0		Mme	Céline	CHARRIAUD				15100 Saint-Flour	04 71 60 56 80	04 71 60 43 07						 	    	04 71 23 50 78	
84 - Auvergne-Rhône-Alpes	15 - Cantal	1 - Aurillac	211501960 - Saint-Mamet-la-Salvetat	200066678	CC de la Châtaigneraie Cantalienne	CC	0	0	2017-01-01	2017-01-01	RDC		50	21689	38	FPU	0	0	0		0		M.	Michel	TEYSSEDOU		5 Rue des Placettes		15220 Saint-Mamet la Salvetat	04 71 49 33 30	04 71 49 33 31						 	    	04 71 49 64 37	
84 - Auvergne-Rhône-Alpes	15 - Cantal	2 - Mauriac	211501622 - Riom-ès-Montagnes	241500255	CC du Pays Gentiane	CC	0	0	1993-12-29	1993-12-29	RDC		17	6739	36	FPU	0	0	0	 	0	 	Mme	Valérie	CABECAS ROQUIER	Maison de la Formation et du Développement			15400 Riom-ès-Montagnes	04 71 78 29 50	04 71 78 29 51						 	    	04 71 78 29 51	
84 - Auvergne-Rhône-Alpes	15 - Cantal	2 - Mauriac	211501200 - Mauriac	241500271	CC du Pays de Mauriac	CC	0	0	1994-11-04	1994-11-04	ACCOR		11	6876	21	FPU	0	0	0	 	1	 	M.	Jean Pierre	SOULIER	Mairie de Mauriac			15200 Mauriac	04 71 68 01 85	04 71 68 06 38						 	    	04 71 68 06 38	
84 - Auvergne-Rhône-Alpes	15 - Cantal	2 - Mauriac	211500384 - Champs-sur-Tarentaine-Marchal	241501055	CC Sumène - Artense	CC	0	0	1999-12-30	1999-12-30	RDC		16	8380	31	FPU	0	0	0	 	1	 	M.	Marc	MAISONNEUVE	Mairie de Champs-sur-Tarentaine-Marchal			15270 Champs-sur-Tarentaine-Marchal	04 71 78 72 55	04 71 78 76 85						 	    	04 71 78 76 85	
84 - Auvergne-Rhône-Alpes	15 - Cantal	1 - Aurillac	211502588 - Vic-sur-Cère	241501089	CC Cère et Goul en Carladès	CC	0	0	2000-10-12	2000-10-12	RDC		11	5086	26	FPU	0	0	0	 	1	 	Mme	Dominique	BRU		6 Rue de l'Elancèze		15800 Vic-sur-Cère	04 71 47 89 00	04 71 47 89 01						 	    	04 71 47 89 01	
84 - Auvergne-Rhône-Alpes	15 - Cantal	2 - Mauriac	211502190 - Salers	241501139	CC du Pays de Salers	CC	0	0	2003-12-19	2003-12-19	RDC		27	8597	27	FPU	0	0	0	 	0	 	M.	Bruno	FAURE			BP 9	15140 Salers	04 71 40 72 09	    						 	    	    	
84 - Auvergne-Rhône-Alpes	15 - Cantal	3 - Saint-Flour	211500459 - Chaudes-Aigues	200004224	Syndicat d'adduction d'eau potable des Vergnes	SIVU	0	0	2006-07-26	2006-07-26	MEMNB		6	1284	1	CBUDG	0	0	0		0		M.	Pierre	CHASSANG	Mairie de Chaudes-Aigues			15110 Chaudes-Aigues	    	    			mairie			15110 CHAUDES-AIGUES	    	    	
84 - Auvergne-Rhône-Alpes	15 - Cantal	1 - Aurillac	211502158 - Saint-Simon	241500032	SIVU de la vallée de la Jordanne	SIVU	0	0	1966-02-10	1966-02-10	MEMNB		5	2196	1	CBUDG	0	0	0	 	0	 	M.	Philippe	MAURS	Mairie de Lascelles			15590 LASCELLES	04 71 47 10 10	    			Les Terres Blanches			15130 Saint-Simon	    	    	
84 - Auvergne-Rhône-Alpes	15 - Cantal	1 - Aurillac	211501754 - Saint-Cernin	241500131	SIVU de la Doire	SIVU	0	0	1966-05-10	1966-05-10	POPUL		5	2166	1	CBUDG	0	0	0		0		M.	Jean-Michel	MAS	Mairie de Saint-Cernin			15310 Saint-Cernin	04 71 47 60 09	04 71 47 63 24						 	    	04 71 47 63 24	
84 - Auvergne-Rhône-Alpes	15 - Cantal	3 - Saint-Flour	211501101 - Lugarde	251500211	SI des eaux de Lugarde-Marchastel	SIVU	0	0	1968-03-13	1968-03-13	MEMNB		2	268	1	CBUDG	0	0	0		0		M.	Jean-Maurice	EMORINE	Mairie de Lugarde			15190 Lugarde	04 71 78 40 15	04 71 78 40 15						 	    	04 71 78 40 15	
84 - Auvergne-Rhône-Alpes	15 - Cantal	3 - Saint-Flour	211501192 - Massiac	251500245	SI des eaux de la Granjoune	SIVU	0	0	1955-12-02	1955-12-02	MEMNB		9	3092	1	CBUDG	0	0	0		0		M.	Bernard	BEC	Mairie de Massiac			15500 Massiac	04 71 23 02 61	04 71 23 12 13						 	    	04 71 23 12 13	
84 - Auvergne-Rhône-Alpes	15 - Cantal	2 - Mauriac	211501200 - Mauriac	251500252	SI d'entretien des voies de la région de Mauriac Salers	SIVU	0	0	1977-11-14	1977-11-14	MEMNB		21	8821	1	CBUDG	0	0	0		0		M.	Olivier	ROCHE	Mairie de Mauriac			15200 Mauriac	04 71 68 01 85	04 71 68 06 38			Place Georges Pompidou	Mairie		15200 MAURIAC	    	04 71 68 06 38	
84 - Auvergne-Rhône-Alpes	15 - Cantal	2 - Mauriac	211501374 - Moussages	251500302	SI des eaux de Meallet-Moussages	SIVU	0	0	1961-06-20	1961-06-20	MEMNB		2	417	1	CBUDG	0	0	0		0		M.	Daniel	VIZET	Mairie de Moussages			15380 Moussages	04 71 40 07 68	04 71 40 07 83						 	    	04 71 40 07 83	
84 - Auvergne-Rhône-Alpes	15 - Cantal	2 - Mauriac	211501200 - Mauriac	251500310	SI d'adduction d'eau de la région de Mauriac	SIVU	0	0	1947-07-04	1947-07-04	MEMNB		10	7243	1	CBUDG	0	0	0		0		M.	François	DESCOEUR		Rue Blaise Pascal		15200 Mauriac	04 71 68 01 85	04 71 68 06 38						 	    	04 71 68 06 38	
84 - Auvergne-Rhône-Alpes	15 - Cantal	1 - Aurillac	200057503 - Saint-Constant-Fournoulès	251500336	SI des eaux de Saint-Constant et Saint-Étienne	SIVU	0	0	1973-06-04	1973-06-04	MEMNB		2	1379	1	CBUDG	0	0	0		0		M.	François	BARRIERE	Mairie de Saint-Constant			15600 Saint-Constant	04 71 49 10 30	04 71 49 10 69						 	    	04 71 49 10 69	
84 - Auvergne-Rhône-Alpes	15 - Cantal	1 - Aurillac	211502125 - Saint-Santin-de-Maurs	251500351	SI des eaux de Saint-Santin-de-Maurs	SIVU	0	1	1964-07-04	1964-07-04	MEMNB		3	1048	1	CBUDG	0	0	0		0		M.	Jean-Luc	BROUSSAL	Mairie de Saint-Santin-de-Maurs			15600 St-Santin-de-Maurs	04 71 49 12 09	04 71 49 15 35						 	    	04 71 49 15 35	
84 - Auvergne-Rhône-Alpes	15 - Cantal	3 - Saint-Flour	200065191 - Neuvéglise-sur-Truyère	251500393	SI d'adduction de la région de Neuvéglise	SIVU	0	0	1946-06-19	1946-06-19	MEMNB		5	3271	1	CBUDG	0	0	0	 	0	 	Mme	Céline	CHARRIAUD		1 Place Albert		15260 Neuvéglise	04 71 23 81 68	04 71 23 83 95						 	    	04 71 23 83 95	
84 - Auvergne-Rhône-Alpes	15 - Cantal	2 - Mauriac	211500038 - Ally	251500443	SI des eaux d'Ally-Escorailles	SIVU	0	0	1956-05-31	1956-05-31	MEMNB		3	770	1	CBUDG	0	0	0		0		M.	Arnaud	BONY	Mairie d'Ally			15700 Ally	04 71 69 00 69	04 71 69 01 55						 	    	04 71 69 01 55	
84 - Auvergne-Rhône-Alpes	15 - Cantal	2 - Mauriac	211501622 - Riom-ès-Montagnes	251500476	SI des eaux de la Sumène	SIVU	0	0	1961-11-20	1961-11-20	MEMNB		5	3657	1	CBUDG	0	0	0		0		M.	Gilbert	MOMMALIER	Mairie de Saint-Etienne-de-Chomeil			15400 Riom-ès-Montagnes	04 71 78 32 15	04 71 78 34 54						 	    	04 71 78 34 54	
84 - Auvergne-Rhône-Alpes	15 - Cantal	3 - Saint-Flour	211501077 - Lorcières	251500526	SI d'adduction d'eau de Clavières, Lorcières et Chaliers	SIVU	0	0	1953-05-20	1953-05-20	MEMNB		3	521	1	CBUDG	0	0	0		0		M.	Thierry	ROBERT	Mairie de Chaliers			15320 Chaliers	04 71 23 44 64	04 71 23 48 74						 	    	04 71 23 48 74	
84 - Auvergne-Rhône-Alpes	15 - Cantal	2 - Mauriac	211500384 - Champs-sur-Tarentaine-Marchal	251500534	SI du parc industriel et artisanal de Verchalles	SIVU	0	1	1976-09-10	1976-09-10	MEMNB		8	8232	1	CBUDG	0	0	0		0		M.	Fabrice	MEUNIER	Mairie 	33 Place du 19 Octobre		19110 Bort les Orgues	05 55 46 17 60	05 55 46 17 65						 	    	05 55 46 17 65	
