Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
11 - Île-de-France	91 - Essonne	1 - Étampes	219102233 - Étampes	200017846	CA Étampois Sud Essonne	CA	0	0	2008-12-16	2008-12-16	RDC		37	56374	41	FPU	0	0	0	 	0	 	M.	Johann	MITTELHAUSSER		76 Rue Saint-Jacques		91150 ETAMPES	    	    	contact@caese.fr					 	01 64 59 26 72	01 64 59 23 88	
11 - Île-de-France	91 - Essonne	3 - Palaiseau	219104718 - Orsay	200056232	CA Communauté Paris-Saclay	CA	0	0	2015-10-02	2016-01-01	RDC		27	320051	44	FPU	0	0	0		0		M.	Grégoire	DE LASTEYRIE	Parc Orsay Université	21 Rue Jean Rostand		91898 ORSAY Cedex	01 69 35 60 60	01 69 31 93 99	contact@paris-saclay.com		21 RUE JEAN ROSTAND	PARC ORSAY UNIVERSITE		91898 ORSAY CEDEX	01 69 35 60 60	01 69 31 93 99	
11 - Île-de-France	91 - Essonne	3 - Palaiseau	219105491 - Sainte-Geneviève-des-Bois	200057859	CA Coeur d'Essonne Agglomération	CA	0	0	2015-12-04	2016-01-01	RDC		21	208858	46	FPU	0	0	0		0		M.	Eric	BRAIVE	La Maréchaussée	1 Place Saint-Exupéry		91700 SAINTE-GENEVIEVE-DES-BOIS	01 69 72 18 00	01 69 72 18 01	communaute@coeuressonne.fr					 	    	01 69 72 18 01	
11 - Île-de-France	91 - Essonne	2 - Évry	219101144 - Brunoy	200058477	CA Val d'Yerres Val de Seine	CA	0	0	2015-12-14	2016-01-01	ACCOR		9	178586	35	FPU	0	0	0		0		M.	François	DUROVRAY		78 Route Nationale 6	BP 103	91805 Brunoy CEDEX	    	    	accueil@vyvs.fr		78 Route Nationale 6	BP 103		91805 BRUNOY CEDEX	01 60 47 94 20	    	
11 - Île-de-France	91 - Essonne	2 - Évry	200083525 - Évry-Courcouronnes	200059228	CA Grand Paris Sud Seine Essonne Sénart	CA	0	1	2015-12-15	2016-01-01	RDC		23	360248	51	FPU	0	0	0		0		M.	Michel	BISSON		Place des Champs Elysées		91080 COURCOURONNES	01 69 91 58 58	01 60 77 33 68	webmaster@grandparissud.fr					 	    	01 60 77 33 68	
11 - Île-de-France	91 - Essonne	3 - Palaiseau	219101110 - Briis-sous-Forges	249100074	CC du Pays de Limours (CCPL)	CC	0	0	2001-12-17	2001-12-31	RDC		14	27699	34	FPU	0	0	0	 	0	 	Mme	Dany	BOYER		615 Rue Fontaine de Ville		91640 BRIIS-SOUS-FORGES	01 64 90 79 00	01 64 90 51 07	accueil@cc-paysdelimours.fr					 	01 64 90 79 00	01 64 90 51 07	
11 - Île-de-France	91 - Essonne	2 - Évry	219104056 - Milly-la-Forêt	249100157	CC des 2 Vallées	CC	0	0	2001-12-24	2001-12-31	RDC		15	18884	23	FPU	0	0	0	 	0	 	M.	Pascal	SIMONNOT		23 Rue de la Chapelle Saint-Blaise		91490 MILLY-LA-FORET	01 64 98 85 19	01 64 98 85 35	cc2v@cc2v91.fr					 	01 64 98 85 19	01 64 98 85 35	
11 - Île-de-France	91 - Essonne	2 - Évry	219100450 - Ballancourt-sur-Essonne	249100546	CC du Val d'Essonne (CCVE)	CC	0	0	2002-12-11	2002-12-31	ACCOR		21	62779	30	FPU	0	1	0	 	0	 	M.	Patrick	IMBERT	Parvis des Communautés		BP 29	91610 BALLANCOURT SUR ESSONNE	01 64 93 21 20	01 64 93 22 03	ccve@ccvalessonne.com					 	    	01 64 93 22 03	
11 - Île-de-France	91 - Essonne	1 - Étampes	219102266 - Étréchy	249100553	CC Entre Juine et Renarde (CCEJR)	CC	0	0	2003-10-27	2003-10-31	ACCOR		16	28147	37	FPU	0	1	0	 	0	 	M.	Jean-Marc	FOUCHER		2 Rue des Hêtres Pourpres		91580 ETRECHY	01 83 63 70 90	    	dgs@ccejr.org					 	01 83 63 88 22	01 60 80 32 47	
11 - Île-de-France	91 - Essonne	1 - Étampes	219102001 - Dourdan	249100595	CC le Dourdannais en Hurepoix (CCDH)	CC	0	0	2005-11-22	2005-11-22	RDC		11	27410	26	FPU	0	1	0	 	0	 	M.	Rémi	BOYER		17 Rue Pierre Ceccaldi 		91410 DOURDAN	01 60 81 12 20	01 64 59 49 28	contact@ccdourdannais.com					 	    	01 64 59 49 28	
11 - Île-de-France	91 - Essonne	1 - Étampes	219105111 - Pussay	200006492	SI des quatre rivières des portes de la Beauce	SIVU	0	0	2006-11-28	2006-11-28	MEMNB		4	5277	1	CBUDG	0	0	0	 	0	 	M.	Grégory	COURTAS	Place du Jeu de Paume			91740 PUSSAY	01 64 95 23 38	    	pussay.mairie@wanadoo.fr		Place du Jeu de Paume			91740 PUSSAY	01 64 95 23 38	    	
11 - Île-de-France	91 - Essonne	3 - Palaiseau	219106895 - Wissous	200026532	Syndicat pour la valorisation de la Plaine de Montjean	SIVU	0	1	2010-09-23	2010-09-23	MEMNB		3	41663	1	CBUDG	0	0	0		0						1 Place de la Libération		91320 WISSOUS	01 64 47  	01 69 20 1 						 	    	01 69 20 1 	
11 - Île-de-France	91 - Essonne	1 - Étampes	219100161 - Angerville	200072890	SI d'énergie du Grand Étampois	SIVU	0	0	2016-12-19	2017-01-01	MEMNB		36	55711	1	CBUDG	0	0	0		0		M.	Johann	MITTELHAUSSER	Hôtel de Ville	34 Rue Nationale	BP 29	91670 ANGERVILLE	    	    	accueil@mairie-angerville.fr					 	    	    	
