Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
76 - Occitanie	11 - Aude	1 - Carcassonne	211100698 - Carcassonne	200035715	CA Carcassonne Agglo	CA	0	0	2012-12-21	2013-01-01	ACCOR		83	116510	46	FPU	0	0	0	 	1	 	M.	Régis	BANQUET		1 Rue Pierre Germain	CS 20010	11890 CARCASSONNE Cedex	04 68 10 56 00	04 68 47 81 60		www.carcassonne-agglo.fr				 	    	04 68 47 81 60	
76 - Occitanie	11 - Aude	3 - Narbonne	211102629 - Narbonne	241100593	CA Le Grand Narbonne	CA	0	0	2002-12-26	2002-12-26	RDC		37	134654	36	FPU	0	0	0	 	1	 	M.	Bertrand	MALQUIER		12 Boulevard Frédéric Mistral	CS 50100	11785 NARBONNE Cédex	04 68 58 14 58	04 68 58 14 59	infopref@legrandnarbonne.com					 	    	04 68 58 14 59	
76 - Occitanie	11 - Aude	1 - Carcassonne	211100490 - Bram	200035707	CC Piège Lauragais Malepère	CC	0	0	2012-12-19	2013-01-01	RDC		38	16776	29	FPU	0	0	0	 	0	 	M.	André	VIOLA		62 Rue Bonrepos		11150 bram	    	    						 	    	    	
76 - Occitanie	11 - Aude	1 - Carcassonne	211100763 - Castelnaudary	200035855	CC Castelnaudary Lauragais Audois	CC	0	0	2012-12-21	2013-01-01	RDC		43	28709	32	FPU	0	0	0	 	1	 	M.	Philippe	GREFFIER		40 Avenue du 8 Mai 1945		11400 Castelnaudary	    	    						 	    	    	
76 - Occitanie	11 - Aude	3 - Narbonne	211102033 - Lézignan-Corbières	200035863	CC Région Lézignanaise, Corbières et Minervois	CC	0	0	2012-12-20	2013-01-01	RDC		54	33753	31	FPU	1	0	0	 	1	 	M.	André	HERNANDEZ		48 Avenue Charles Cros		11200 LEZIGNAN CORBIERES	04 68 27 03 35	    	contact@ccrlcm.fr					 	    	    	
76 - Occitanie	11 - Aude	1 - Carcassonne	211101746 - Les Ilhes	200042463	CC de la Montagne Noire	CC	0	0	2014-01-01	2014-01-01	RDC		22	6032	23	ASZSE	0	0	0		0		M.	Cyril	DELPECH		Route de Mas Cabardès		11380 LES ILHES CABARDES	    	    	cdc.cabardes.mnoire@wanadoo.fr		5, Place Antoine Courrière			11390 Cuxac-Cabardès	04 68 24 77 21	    	
76 - Occitanie	11 - Aude	2 - Limoux	200059418 - Quillan	200043776	CC Pyrénées audoises	CC	0	0	2013-05-30	2014-01-01	RDC		61	13866	31	FPU	0	0	0		0		M.	Francis	SAVY		1 Avenue François Mitterrand		11500 Quillan	04 68 20 00 10	    	accueil.ccpa@pyreneesaudoises.fr					 	    	04 68 20 04 91	
76 - Occitanie	11 - Aude	2 - Limoux	211102066 - Limoux	200071926	CC du Limouxin	CC	0	0	2016-12-02	2017-01-01	RDC		76	28531	34	FPU	1	1	0		1		M.	Pierre	DURAND		2 Place Joseph Alcantara		11300 LIMOUX	04 68 31 40 78	04 68 31 60 30	accueil.cclsh@wanadoo.fr					 	    	04 68 31 60 30	
76 - Occitanie	11 - Aude	2 - Limoux	211104278 - Villelongue-d'Aude	200004794	SIVU RP Loupia, Pomy, Villelongue-d'Aude	SIVU	0	0	2006-08-29	2006-08-29	MEMNB		3	617	1	CBUDG	0	0	0	 	0	 	Mme	Marie-Claudine	LAFFONT	Mairie			11300 Villelongue d'Aude	04 68 69 53 87	04 68 69 33 59	mairie-villelongue-11@orange.fr					 	04 68 69 53 87	04 68 69 33 59	
76 - Occitanie	11 - Aude	3 - Narbonne	211101233 - Duilhac-sous-Peyrepertuse	200010619	SIVOS Henry-Paul Eydoux	SIVU	0	0	2007-09-27	2007-09-27	AUTR		4	470	2	CBUDG	0	0	0	 	0	 	M.	Alexandre	DELLOUE		3 Rue des Genêts		11350 Duilhac sous Peyrepertuse	    	    	a.ibot@duillhac.fr					 	04 68 45 24 03	    	
76 - Occitanie	11 - Aude	2 - Limoux	211100532 - Brugairolles	200015915	SIVU du RPI du Razès	SIVU	0	0	2007-10-09	2007-10-09	MEMNB		4	1088	1	CBUDG	0	0	0	 	0	 	M.	Christophe	BARE		10 Rue de la Mairie		11300 BRUGAIROLLES	04 68 31 46 61	    						 	    	    	
76 - Occitanie	11 - Aude	3 - Narbonne	211101456 - Fleury	200021673	SI de lavage de machines agricoles (SILMA)	SIVU	0	0	2009-07-24	2009-07-24	MEMNB		2	7264	1	CBUDG	0	0	0		0		M.	André-Luc	MONTAGNIER	Mairie de Fleury-d'Aude			11560 FLEURY D'AUDE	    	    						 	    	    	
76 - Occitanie	11 - Aude	3 - Narbonne	211103866 - Talairan	200024552	SIVU Talairan - Tournissan	SIVU	0	0	2010-02-18	2010-02-18	MEMNB		2	736	1	CBUDG	0	0	0	 	0	 	Mme	Julie	ARTHOZOUL		1 Avenue du Termenès		11220 TALAIRAN	    	    	commune.talairan@wanadoo.fr		1, avenue du Termenès			11220 Talairan	04 68 44 00 97	    	
76 - Occitanie	11 - Aude	2 - Limoux	211101977 - Lauraguel	200026144	SIVU de la station d'épuration du Razès	SIVU	0	0	2010-10-04	2010-10-04	MEMNB		4	1620	1	CBUDG	0	0	0	 	0	 	M.	Joël	CATHALA	Mairie	1 Avenue du Razès		11300 LAURAGUEL	04 68 31 91 91	    	sivu.razes@orange.fr		Mairie de Lauraguel			 	04 68 31 91 91	    	
76 - Occitanie	11 - Aude	3 - Narbonne	211101647 - Ginestas	200027423	SIVU du Sud Minervois	SIVU	0	0	2010-12-28	2011-01-01	POPUL		11	15400	2	CBUDG	0	0	0		0		M.	Christian	LAPALU		Route de Mirepeisset		11200 Ginestas	04 68 46 12 20	    						 	    	    	
76 - Occitanie	11 - Aude	3 - Narbonne	211100672 - Canet	200055077	SIVU des écoles	SIVU	0	0	2015-10-28	2015-10-28	AUTR	représentation des communes par deux délégués	3	2658	1	CBUDG	0	0	0		0		M.	André	HERNANDEZ	Mairie	1 Route de Raissac		11200 CANET D'AUDE	    	    	mairiedecanet@wanadoo.fr					 	04 68 43 81 42	    	
76 - Occitanie	11 - Aude	1 - Carcassonne	211101225 - Douzens	200071009	SI Piémont d'Alaric (SYPA)	SIVU	0	0	2016-12-14	2017-01-01	MEMNB		11	6332	1	CBUDG	0	0	0		0		M.	Philippe	RAPPENEAU	Mairie de Douzens	5 Rue de la Mairie		11700 Douzens	    	    	sivu-alaric@laposte.net					 	    	    	
