Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
75 - Nouvelle Aquitaine	19 - Corrèze	1 - Brive-la-Gaillarde	211903109 - Brive-la-Gaillarde	200043172	CA du Bassin de Brive	CA	0	0	2014-01-01	2014-01-01	RDC		48	110932	33	FPU	0	0	0		0		M.	Frédéric	SOULIER		9 Avenue Léo Lagrange		19100 BRIVE	05 55 74 10 00	    	contact@agglo-brive.fr	www.agglodebrive.fr	9 avenue Léo Lagrange	BP 103		19103 BRIVE-LA-GAILLARDE	05 55 74 10 00	    	
75 - Nouvelle Aquitaine	19 - Corrèze	2 - Tulle	211927207 - Tulle	241927201	CA Tulle Agglo	CA	0	0	1993-12-16	1993-12-16	ACCOR		43	45493	40	FPU	0	1	0	 	1	 	M.	Michel	BREUILH		Rue Sylvain Combes		19000 TULLE	05 55 20 75 00	05 55 20 75 01	tulleagglo@tulleagglo.fr	www.tulleagglo.fr				 	05 55 20 75 00	05 55 20 75 01	
75 - Nouvelle Aquitaine	19 - Corrèze	1 - Brive-la-Gaillarde	211912100 - Lubersac	200066603	CC du Pays de Lubersac-Pompadour	CC	0	0	2016-09-15	2017-01-01	ACCOR		12	7632	22	FPU	0	0	0		0		M.	Francis	COMBY		3 Rue du Général Souham		19210 LUBERSAC	05 19 67 01 05	05 19 67 01 11	secretariat@lubersacpompadour.fr	www.lubersacpompadour.fr				 	    	    	
75 - Nouvelle Aquitaine	19 - Corrèze	2 - Tulle	211926902 - Treignac	200066645	CC Vézère-Monédières-Millesources	CC	0	0	2016-09-15	2017-01-01	ACCOR		20	5864	24	FPU	0	0	0		0		M.	Philippe	JENTY		15 Avenue du Général de Gaulle		19260 Treignac	05 55 73 45 92	    	contact@ccv2m.fr					 	    	    	
75 - Nouvelle Aquitaine	19 - Corrèze	3 - Ussel	211927504 - Ussel	200066744	CC Haute-Corrèze Communauté	CC	0	1	2016-09-15	2017-01-01	RDC		70	33249	22	FPU	0	0	0		0		M.	Pierre	CHEVALIER		23 Parc d'activité du Bois Saint-Michel		19200 Ussel	05 55 95 35 38	05 55 95 35 43	contact@hautecorrezecommunaute.fr	www.hautecorrezecommunaute.fr				 	    	    	
75 - Nouvelle Aquitaine	19 - Corrèze	2 - Tulle	200063022 - Argentat-sur-Dordogne	200066751	CC Xaintrie Val'Dordogne	CC	0	0	2016-09-15	2017-01-01	RDC		30	11495	28	FPU	0	0	0		0		Mme	Nicole	BARDI		8 Avenue du 8 Mai 1945	BP 51	19400 Argentat-sur-Dordogne	05 55 91 01 75	05 55 91 21 77	accueil@xaintrie-val-dordogne.fr	www.xaintrie-val-dordogne.fr				 	    	    	
75 - Nouvelle Aquitaine	19 - Corrèze	1 - Brive-la-Gaillarde	200081487 - Beaulieu-sur-Dordogne	200066769	CC Midi Corrézien	CC	0	0	2016-09-15	2017-01-01	RDC		34	13364	26	FPU	0	0	0		0		M.	Alain	SIMONET		5 Rue Emile Monbrial		19120 Beaulieu-sur-Dordogne	05 55 84 31 00	    	contact@midicorrezien.com					 	    	    	
75 - Nouvelle Aquitaine	19 - Corrèze	3 - Ussel	211910609 - Lapleau	241900133	CC de Ventadour - Egletons - Monédières	CC	0	0	1997-12-29	1997-12-29	RDC		19	11056	23	FPU	0	0	0	 	0	 	M.	Charles	FERRE	La Gentilhommière	Carrefour de l'Épinette		19550 LAPLEAU	05 55 27 69 26	05 55 27 61 67	accueil@cc-ventadour.fr					 	    	05 55 27 61 67	
75 - Nouvelle Aquitaine	19 - Corrèze	2 - Tulle	211927603 - Uzerche	241927243	CC du Pays d'Uzerche	CC	0	0	1999-12-31	1999-12-31	ACCOR		12	10095	26	FPU	0	0	0	 	1	 	Mme	Catherine	CHAMBRAS		10 Place de la Libération		19140 UZERCHE	05 55 73 26 53	05 55 73 77 47	communauté-communes-pays-uzerche@wanadoo.fr					 	    	05 55 73 77 47	
75 - Nouvelle Aquitaine	19 - Corrèze	2 - Tulle	211918107 - Saint-Augustin	200011872	SIRP de la vallée de la Douyge	SIVU	0	0	2007-12-17	2007-12-17	MEMNB		4	977	1	CBUFI	0	0	0		0		Mme	Lucile	BENESTEAU	Mairie			19390 saint augustin	    	    						 	    	    	
75 - Nouvelle Aquitaine	19 - Corrèze	2 - Tulle	200084333 - Laguenne-sur-Avalouze	200087955	Fédération départementale d'électrification et d'énergie de la Corrèze (FDEE19)	SIVU	1	0	2019-01-01	2019-01-01	MEMNB		214	217698	4	CBUFI	0	0	0		0		M.	Christian	DUMOND	Quartier Montana			19150 LAGUENNE-SUR-AVALOUZE	    	    	syndelectcorreze@orange.fr		12 Place Martial Brigouleix			19000 TULLE	05 55 20 89 51	    	
75 - Nouvelle Aquitaine	19 - Corrèze	2 - Tulle	211917406 - La Roche-Canillac	200099620	SI de l'école maternelle du Doustre et du Plateau des Étangs	SIVU	0	0	2022-12-27	2023-01-01	MEMNB		5	1224	1	CBUDG	0	0	0		0		Mme	Nathalie	SCHMUTZ	Mairie de La-Roche-Canillac	3 Place de Collonges-la-Rouge		19320 La-Roche-Canillac	05 55 29 12 46	05 55 29 28 16						 	    	    	
75 - Nouvelle Aquitaine	19 - Corrèze	3 - Ussel	211902804 - Bort-les-Orgues	251902813	SIAEP du canton de Bort-les-Orgues	SIVU	0	0	1969-05-22	1969-05-22	MEMNB		9	4554	1	CBUDG	0	0	0	 	0	 	M.	Samuel	MOUTY	Mairie de Bort-les-Orgues			19110 BORT LES ORGUES	05 55 46 17 60	05 55 46 17 65			Mairie			19110 SARROUX	    	05 55 46 17 65	
75 - Nouvelle Aquitaine	19 - Corrèze	3 - Ussel	211907100 - Davignac	251907101	SIVU d'Ambrugeat-Davignac	SIVU	0	0	1993-05-06	1993-05-06	MEMNB		2	437	4	CBUDG	0	0	0	 	0	 	M.	PATRICE	BARBE	Mairie de Davignac			19250 DAVIGNAC	05 55 94 22 13	05 55 94 27 83						 	    	05 55 94 27 83	
75 - Nouvelle Aquitaine	19 - Corrèze	1 - Brive-la-Gaillarde	211909403 - Juillac	251909438	SI de l'école maternelle de Juillac	SIVU	0	0	1992-11-24	1992-11-24	MEMNB		5	2713	1	CBUDG	0	0	0		0		Mme	Josette	FARGETAS	Mairie			19350 JUILLAC	05 55 25 60 12	05 55 25 69 17						 	    	05 55 25 69 17	
