Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
11 - Île-de-France	93 - Seine-Saint-Denis	2 - Le Raincy	219300498 - Neuilly-Plaisance	200001782	SI pour l'aménagement et le développement de l'espace naturel du plateau d'Avron	SIVU	0	0	2005-04-25	2005-04-25	MEMNB		2	67395	3	CBUDG	0	0	0		0		M.	Pascal	BUTIN	Hôtel de Ville	6 Rue du Général de Gaulle		93360 Neuilly-Plaisance	01 43 00 96 16	    	contact@mairie-neuillyplaisance.com		idem			 	    	    	
11 - Île-de-France	93 - Seine-Saint-Denis	2 - Le Raincy	219300472 - Montfermeil	200092682	Clichy Montfermeil restauration de la Dhuys	SIVU	0	0	2020-01-07	2020-01-07	MEMNB		2	57906	1	CBUDG	0	0	0		0		Mme	Samira	TAYEBI	Hôtel de Ville de Montfermeil	7-11 Place Jean Mermoz		93370 Montfermeil	    	    						 	    	    	
11 - Île-de-France	93 - Seine-Saint-Denis	3 - Saint-Denis	219300720 - Stains	249300039	SIVOM de Stains - Pierrefitte	SIVU	0	0	1971-11-17	1971-11-17	MEMNB		2	72869	1	CBUDG	0	0	0	 	0	 	M.	Azzedine	TAIBI	Hôtel de Ville			93240 STAINS	01 49 71 82 27	    			Idem			 	    	    	
11 - Île-de-France	93 - Seine-Saint-Denis	3 - Saint-Denis	219300019 - Aubervilliers	259300010	SI pour le conservatoire à rayonnement régional d'Aubervilliers - La Courneuve (CNR)	SIVU	0	0	1972-10-23	1972-10-23	MEMNB		2	137548	3	CBUDG	0	0	0	 	0	 	M.	Didier	BROQUE		5 Rue Édouard Poisson		93300 AUBERVILLIERS	01 48 11 04 60	01 48 39 36 74			SITE D'AUBERVILLIERS	5 rue Edouard POISSON		93300 AUBEERVILLIERS	01 48 11 04 60	01 48 39 36 74	
11 - Île-de-France	93 - Seine-Saint-Denis	1 - Bobigny	219300084 - Bobigny	259300036	Syndicat interdépartemental pour la gestion des parcs de sports de Bobigny et La Courneuve (SIGPS)	SIVU	0	1	1970-01-05	1970-01-05	MEMNB		3	2251696	1	CBUDG	0	0	0	 	0	 	Mme	Zainaba	SAID-ANZUM		40-102 Avenue de la Division Leclerc		93000 BOBIGNY	01 41 64 01 60	01 48 30 75 99	mathieu.hanotin@ville-saint-denis.fr					 	    	01 48 30 75 99	
11 - Île-de-France	93 - Seine-Saint-Denis	1 - Bobigny	219300100 - Bondy	259300044	SI du cimetière de Bondy - Le Pré-Saint-Gervais	SIVU	0	0	1961-04-21	1961-04-21	MEMNB		2	69980	1	CBUDG	0	0	0	 	0	 	Mme	haciba	NEMDALI	Hôtel de Ville	Esplanade Claude Fuzier		93140 BONDY	01 48 47 58 13	    	cab-mairie@ville-bondy.fr	sy.icim.bondy@wannadoo.fr	76 rue Henri Varagnat	Cimetière intercommunal		93140 BONDY	01 48 47 58 13	    	
11 - Île-de-France	93 - Seine-Saint-Denis	3 - Saint-Denis	219300795 - Villetaneuse	259300077	SI du cimetière des Joncherolles	SIVU	0	0	1958-02-12	1958-02-12	MEMNB		5	266917	1	CBUDG	0	0	0	 	0	 	M.	Dieunor	EXCELLENT		95 Rue Marcel Sembat		93430 VILLETANEUSE	01 48 26 05 80	01 42 35 92 83	vbailly@sifurep.com		SIFUREP	173-175, Rue de Bercy		75012 PZRIS	01 44 74 32 00	01 42 35 92 83	
11 - Île-de-France	93 - Seine-Saint-Denis	3 - Saint-Denis	219300274 - La Courneuve	259300135	SI du cimetière des villes d'Aubervilliers, La Courneuve, Drancy, Bobigny	SIVU	0	0	1957-08-07	1957-08-07	MEMNB		4	264358	1	CBUDG	0	0	0	 	0	 	Mme	Corinne	CADAYS-DELHOME	Hôtel de Ville	Avenue de la République		93120 LA COURNEUVE	01 49 92 60 00	    	corinne.cadays-delhome@la-courneuve.fr		92 avenue Waldeck ROCHET			93120 LA COURNEUVE	01 48 36 11 29	    	
11 - Île-de-France	93 - Seine-Saint-Denis	1 - Bobigny	219300068 - Bagnolet	259300341	SI pour la construction, l'équipement et la gestion d'une maison de retraite pour personnes agées dépendantes (MAPAD)	SIVU	0	0	1996-08-01	1996-08-01	MEMNB		2	72836	1	CBUDG	0	0	0	 	0	 	Mme	Yalana	DINO	Hôtel de Ville		BP 35	93170 BAGNOLET	01 49 93 60 00	    	4saisons@orange.fr					 	    	    	
11 - Île-de-France	93 - Seine-Saint-Denis	1 - Bobigny	219300530 - Noisy-le-Sec	259300358	SIVU pour la production et la livraison de repas collectifs entre les villes de Bondy et Noisy-le-Sec (SIPLARC)	SIVU	0	0	2000-12-05	2000-12-05	MEMNB		2	99296	1	CBUDG	0	0	0	 	0	 	Mme	Sonia	DAKHTI ALOUT		1 Rue Saint-Just		93130 NOISY-LE-SEC	01 41 83 20 41	    	silparc@silparc.fr		IDEM			 	    	    	
