Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
75 - Nouvelle Aquitaine	24 - Dordogne	3 - Périgueux	212403224 - Périgueux	200040392	CA Le Grand Périgueux	CA	0	0	2014-01-01	2014-01-01	RDC		43	107330	46	FPU	0	0	0		0		M.	Jacques	AUZOU	255 rue Martha Desrumaux			24000 PERIGUEUX	    	    						 	    	    	
75 - Nouvelle Aquitaine	24 - Dordogne	1 - Bergerac	212400378 - Bergerac	200070647	CA Bergeracoise	CA	0	0	2016-09-15	2017-01-01	RDC		38	62436	44	FPU	0	0	0		0		M.	Frédéric	DELMARES	Domaine de la Tour	La Tour Est	CS 40012	24112 BERGERAC Cedex	05 53 23 43 95	05 53 26 27 41						 	    	05 53 26 27 41	
75 - Nouvelle Aquitaine	24 - Dordogne	4 - Sarlat-la-Canéda	212405203 - Sarlat-la-Canéda	200027217	CC Sarlat-Périgord Noir	CC	0	0	2010-12-21	2010-12-31	ACCOR		13	16719	33	FPU	0	0	0	 	0	 	M.	Jean-Jacques	DE PERETTI		1 avenue du Périgord		24200 Sarlat-la-Canéda	    	    	accueil.ccspn@sarlat.fr					 	    	    	
75 - Nouvelle Aquitaine	24 - Dordogne	1 - Bergerac	212405682 - Vélines	200034197	CC de Montaigne Montravel et Gurson	CC	0	0	2012-10-25	2013-01-01	RDC		18	12109	24	AAZSE	0	0	0		0		M.	Thierry	BOIDÉ	Mairie			24230 VELINES	    	    						 	    	    	
75 - Nouvelle Aquitaine	24 - Dordogne	1 - Bergerac	212402234 - Lalinde	200034833	CC des Bastides Dordogne-Périgord	CC	0	0	2012-11-23	2013-01-01	RDC		47	18950	34	FPU	0	0	0	 	0	 	M.	Jean-Marc	GOUIN		36 Boulevard Stalingrad		24150 LALINDE	05 53 73 56 20	05 53 73 56 21	ccbdp@ccbdp.fr					 	    	05 53 73 56 21	
75 - Nouvelle Aquitaine	24 - Dordogne	3 - Périgueux	212403729 - Saint-Astier	200040095	CC Isle Vern Salembre en Périgord	CC	0	0	2014-01-01	2014-01-01	RDC		16	19168	23	FPU	0	0	0		0		M.	Jean-Michel	MAGNE	ZI la Borie	Rue Henri Rebière 		24110 Saint Astier	    	    						 	    	    	
75 - Nouvelle Aquitaine	24 - Dordogne	3 - Périgueux	212402945 - Montpon-Ménestérol	200040384	CC Isle Double Landais	CC	0	0	2014-01-01	2014-01-01	RDC		9	12617	32	FPU	0	0	0		0		M.	Jean-Paul	LOTTERIE		4B Rue du Maréchal Joffre		24700 MONTPON MENESTEROL	    	    						 	    	    	
75 - Nouvelle Aquitaine	24 - Dordogne	3 - Périgueux	212403521 - Ribérac	200040400	CC du Périgord Ribéracois	CC	0	0	2014-01-01	2014-01-01	RDC		44	19973	28	FPU	0	0	0		0		M.	Didier	BAZINET		11 Rue Couleau		24600 RIBERAC	    	    						 	    	    	
75 - Nouvelle Aquitaine	24 - Dordogne	4 - Sarlat-la-Canéda	212405161 - Salignac-Eyvigues	200040830	CC du Pays de Fénelon	CC	0	0	2014-01-01	2014-01-01	ACCOR		17	9932	29	FPU	0	0	0		0		M.	Patrick	BONNEFON		1 Place de la Mairie		24590 Salignac Eyvigues	    	    			Place du 19 mars 1962  - SALIGNAC-EYVIGUES			 	05 53 30 43 57	    	
75 - Nouvelle Aquitaine	24 - Dordogne	1 - Bergerac	212401673 - Eymet	200040889	CC de Portes Sud Périgord	CC	0	0	2014-01-01	2014-01-01	RDC		25	8572	29	ASZSE	0	0	0		0		M.	Jérôme	BETAILLE		23 Avenue de la Bastide		24500 EYMET	    	    	cc.portesudperigord@orange.fr		23 avenue de la Bastide			24500 EYMET	05 53 22 57 94	    	
75 - Nouvelle Aquitaine	24 - Dordogne	4 - Sarlat-la-Canéda	212403968 - Saint-Cyprien	200041051	CC Vallée de la Dordogne et Forêt Bessède	CC	0	0	2014-01-01	2014-01-01	ACCOR		20	9131	30	AAZSE	0	0	0		0		M.	Serge	ORHAND		Avenue de la Gare		24220 SAINT-CYPRIEN	    	05 53 29 20 15	ccvd@perigord.com.		Idem que ci-dessus			 	    	05 53 29 20 15	
75 - Nouvelle Aquitaine	24 - Dordogne	4 - Sarlat-la-Canéda	212405476 - Terrasson-Lavilledieu	200041150	CC Terrassonnais Haut Périgord Noir	CC	0	0	2014-01-01	2014-01-01	RDC		37	22538	33	FPU	0	0	0		0		M.	Dominique	BOUSQUET	Pôle des Services publics			24120 TERRASSON-LAVILLEDIEU	    	    						 	    	    	
