Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
75 - Nouvelle Aquitaine	40 - Landes	1 - Dax	214000887 - Dax	244000675	CA du Grand Dax	CA	0	0	1993-12-27	1993-12-31	ACCOR		20	59694	48	FPU	0	1	0	redevance spéciale ordures ménagères	1	 	M.	Julien	DUBOIS		20 Avenue de la Gare		40100 Dax	05 58 56 39 40	05 58 56 39 41	cagdax@orange.fr		15 avenue de la gare			40100 Dax	05 58 56 39 40	05 58 56 39 41	
75 - Nouvelle Aquitaine	40 - Landes	2 - Mont-de-Marsan	214001927 - Mont-de-Marsan	244000808	CA Mont de Marsan Agglomération	CA	0	0	1998-12-29	1998-12-31	ACCOR		18	57192	46	FPU	0	0	0	 	1	 	M.	Charles	DAYOT		575 Avenue du Maréchal Foch		40000 Mont de Marsan	05 58 46 64 10	05 58 46 64 19	communaute@agglo-marsan.fr	www.agglo-marsan.fr	575 avenue du Maréchal Foch			40000 Mont de Marsan	05 58 46 64 10	05 58 46 64 19	
75 - Nouvelle Aquitaine	40 - Landes	2 - Mont-de-Marsan	214000010 - Aire-sur-l'Adour	200030435	CC d'Aire-sur-l'Adour	CC	0	1	1992-12-21	1992-12-31	ACCOR		22	13564	30	FPU	0	0	0	redevance spéciale ordures ménagères	1	 	M.	Philippe	BRETHES		7 Boulevard de la Gare		40800 AIRE SUR L'ADOUR	05 58 45 19 05	05 58 45 45 05	cdc@aire-sur-adour.fr		Mairie BP 143	40801 AIRE sur l'ADOUR		 	    	05 58 71 84 49	
75 - Nouvelle Aquitaine	40 - Landes	2 - Mont-de-Marsan	214002453 - Roquefort	200035541	CC des Landes d'Armagnac	CC	0	0	2012-12-17	2013-01-01	RDC		27	11145	34	FPU	0	0	0	 	0	 	M.	Philippe	LATRY		31 Chemin de Bas de Haut		40120 ROQUEFORT	    	    						 	    	    	
75 - Nouvelle Aquitaine	40 - Landes	1 - Dax	214002248 - Peyrehorade	200069417	CC Pays d'Orthe et Arrigans	CC	0	0	2016-12-02	2017-01-01	ACCOR		24	24843	32	FPU	0	0	0		0		M.	Jean-Marc	LESCOUTE		156 Route de Mahoumic		40300 Peyrehorade	05 58 73 60 03	05 58 73 11 34	communaute-communes@orthe-arrigans.fr		156 route de Mahoumic			40300 Peyrehorade	05 58 73 60 03	05 58 73 11 34	
75 - Nouvelle Aquitaine	40 - Landes	1 - Dax	214001943 - Montfort-en-Chalosse	200069631	CC Terres de Chalosse	CC	0	0	2016-12-02	2017-01-01	RDC		34	18725	29	FPU	0	0	0		0		M.	Didier	GAUGEACQ	Pôle des Services	55 Place Foch		40380 MONTFORT-EN-CHALOSSE	05 58 98 45 88	05 58 98 56 19			Pôle des services	55, Place Foch		40380 Montfort en Chalosse	05 58 98 45 88	05 58 98 56 19	
75 - Nouvelle Aquitaine	40 - Landes	2 - Mont-de-Marsan	214002826 - Saint-Sever	200069649	CC Chalosse Tursan	CC	0	0	2016-12-05	2017-01-01	RDC		50	26706	27	FPU	0	0	0		0		Mme	Pascale	REQUENNA		1 Rue du Bellocq		40500 Saint Sever	    	    			1 rue du Bellocq			40500 SAINT SEVER	    	    	
75 - Nouvelle Aquitaine	40 - Landes	2 - Mont-de-Marsan	214002461 - Sabres	200069656	CC Coeur Haute Lande	CC	0	0	2016-12-05	2017-01-01	RDC		26	16448	35	FPU	0	0	0		0		M.	Dominique	COUTIERE	Mairie de Sabres	24 Place Gambetta		40630 Sabres	    	    			Mairie de Sabres	24 Place Gambetta		40630 Sabres	    	    	
75 - Nouvelle Aquitaine	40 - Landes	2 - Mont-de-Marsan	214001844 - Mimizan	244000543	CC de Mimizan	CC	0	0	1999-12-27	1999-12-31	RDC		6	12995	35	FPU	0	1	0		0		M.	Xavier	FORTINON		Avenue de la Gare		40200 Mimizan	05 58 09 44 55	05 58 09 44 43	communication@mimizan.com		avenue de la gare			40200 Mimizan	05 58 09 44 55	05 58 09 44 43	
75 - Nouvelle Aquitaine	40 - Landes	1 - Dax	214002735 - Saint-Martin-de-Seignanx	244000659	CC du Seignanx	CC	0	0	1993-12-23	1993-12-31	RDC		8	29831	34	FPU	0	0	0	 	0	 	Mme	Isabelle	DUFAU		1526 Avenue de Barrère	CS 40070	40390 SAINT MARTIN DE SEIGNANX	05 59 56 61 62	05 59 56 61 60	communaute.seignanx@cc-seignanx.fr		Maison du Seignanx	'' Clairbois ''		40390 Saint Martin de Seignanx	05 59 56 61 61	05 59 56 61 60	
75 - Nouvelle Aquitaine	40 - Landes	2 - Mont-de-Marsan	200084713 - Morcenx-la-Nouvelle	244000691	CC du Pays Morcenais	CC	0	0	1994-06-08	1994-06-08	RDC		6	9612	33	FPU	0	0	0		1	Taxe locale d'équipement (TLE)	M.	Jérôme	BAYLAC-DOMENGETROY		16 Place Léo Bouyssou		40110 Morcenx	05 58 04 14 15	05 58 07 84 99			16 place Léo Bouyssou			40110 Morcenx	05 58 04 14 15	05 58 07 84 99	
75 - Nouvelle Aquitaine	40 - Landes	1 - Dax	214003139 - Tartas	244000766	CC du Pays Tarusate	CC	0	0	1996-12-26	1996-12-31	ACCOR		17	18291	34	FPU	0	0	0		1		M.	Laurent	CIVEL	Maison du Pays	143 Rue Jules Ferry		40400 Tartas	05 58 73 31 28	05 58 73 32 23	ccpt@cc-pays-tarusate.fr		Maison du Pays	13 rue Jules Ferry		40400 Tartas	05 58 73 31 28	05 58 73 32 23	
75 - Nouvelle Aquitaine	40 - Landes	2 - Mont-de-Marsan	214003311 - Villeneuve-de-Marsan	244000774	CC du Pays de Villeneuve en Armagnac Landais	CC	0	0	1997-12-31	1997-12-31	ACCOR		12	6393	33	FPU	0	0	0	 	1	 	M.	Jean-Yves	ARRESTAT	Espace cantonal	7 Rue de la Birole		40190 VILLENEUVE DE MARSAN	05 58 45 22 68	05 58 45 88 38			espace cantonal	71, avenue des Pyrénées		40190 Villeneuve de Marsan	05 58 45 22 68	05 58 45 88 38	
