Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
44 - Grand Est	51 - Marne	3 - Reims	215104217 - Reims	200067213	CU du Grand Reims	CU	0	0	2017-01-01	2017-01-01	RDC		143	300403	59	FPU	0	1	0	assainissement	1		Mme	Catherine	VAUTRIN		3 Rue Eugène Desteuque		51100 Reims	    	    			Hôtel de la Communauté	3, rue Eugène Desteuque		51100 REIMS	03 26 35 37 39	    	
44 - Grand Est	51 - Marne	1 - Châlons-en-Champagne	215101015 - Châlons-en-Champagne	200066876	CA de Châlons-en-Champagne	CA	0	0	2016-09-21	2017-01-01	ACCOR		46	80768	50	FPU	0	0	0		0		M.	Jacques	JESSON	Hôtel de Ville			51000 CHALONS EN CHAMPAGNE	03 26 26 17 60	    	cac@chalons-en-champagne.net		26, rue Joseph-Marie Jacquard BP187			51009 Châlons en Champagne Cedex	03 26 26 17 60	    	
44 - Grand Est	51 - Marne	2 - Épernay	215102120 - Épernay	200067684	CA Epernay, Coteaux et Plaine de Champagne	CA	0	0	2016-09-12	2017-01-01	ACCOR		47	48068	41	FPU	0	0	0		0		M.	Franck	LEROY	Hôtel de Communauté	Place du 13ème Régiment de Génie	BP 80526	51331 EPERNAY	03 26 56 47 10	03 26 56 47 86	boyer@ccepc.fr					 	    	03 26 56 47 86	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215106022 - Vitry-le-François	200034718	CC de Vitry, Champagne et Der	CC	0	0	2012-11-14	2013-01-01	RDC		35	24070	31	FPU	1	0	0	redevance spéciale déchets ménagers et assimilés	0	 	M.	Jean-Pierre	BOUQUET	Hôtel de Ville de Vitry-le-François	Place de l'Hôtel de Ville		51300 VITRY-LE-FRANCOIS	03 26 41 22 77	    	contact@vitry-le-francois.net					 	    	    	
44 - Grand Est	51 - Marne	1 - Châlons-en-Champagne	215105198 - Suippes	200042620	CC de la Région de Suippes	CC	0	0	2014-01-01	2014-01-01	RDC		16	8022	27	FPU	1	0	0		1		M.	François	MAINSANT		13 Place de l'Hôtel de Ville		51600 SUIPPES	03 26 70 08 60	    	communaute@cc-regiondesuippes.fr	www.cc-regiondesuippes.com				 	    	    	
44 - Grand Est	51 - Marne	1 - Châlons-en-Champagne	215104712 - Sainte-Menehould	200042703	CC de l'Argonne Champenoise	CC	0	0	2014-01-01	2014-01-01	ACCOR		60	12080	25	FPU	0	0	1		1		M.	Bertrand	COUROT		50 Avenue de Pertison		51800 SAINTE-MENEHOULD	03 26 60 17 38	    	mairie@mairie-vienne-le-chateau.fr		mairie de VIENNE LE CHATEAU			 	03 26 60 10 19	    	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215104761 - Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson	200042992	CC Perthois-Bocage et Der	CC	0	0	2014-01-01	2014-01-01	ACCOR		25	5675	33	ASZSE	0	0	1		0		Mme	Pascale	CHEVALLOT		23 Rue Radet		51290 SAINT-REMY-EN-BOUZEMONT-SAINT-GENEST-ET-ISSON	03 26 74 12 49	    	cc-perthoisbocageetder@orange.fr					 	03 26 73 71 89	    	
44 - Grand Est	51 - Marne	1 - Châlons-en-Champagne	215104464 - Saint-Germain-la-Ville	200043438	CC de la Moivre à la Coole	CC	0	0	2013-05-29	2014-01-01	ACCOR		28	9919	28	ASZSE	0	0	1		1		M.	Julien	VALENTIN	Mairie 	Grande Rue		51240 SAINT GERMAIN LA VILLE	03 26 67 50 05	    	ccmc.president@orange.fr					 	    	    	
44 - Grand Est	51 - Marne	2 - Épernay	215100090 - Anglure	200066835	CC de Sézanne-Sud Ouest Marnais	CC	0	0	2016-09-12	2017-01-01	ACCOR	En attente éventuel changement à venir	62	21554	34	AAZAE	0	0	0		0		M.	Cyril	LAURENT		Promenade de l'Aube		51260 ANGLURE	    	    	villedesezanne.a.aubes@wanadoo.fr		Promenade de l'Aube			51260 ANGLURE	    	    	
44 - Grand Est	51 - Marne	2 - Épernay	215102013 - Dormans	200066850	CC des Paysages de la Champagne	CC	0	0	2016-09-15	2017-01-01	ACCOR	En attente	51	21165	39	AAZSE	0	0	0		0		M.	Régis	COUTANT		4 Boulevard des Varennes		51700 DORMANS	03 26 58 19 23	03 26 52 66 86	cccmarne@wanadoo.fr					 	    	03 26 52 66 86	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215104944 - Sermaize-les-Bains	200067379	CC Côtes de Champagne et Val de Saulx	CC	0	0	2016-09-15	2017-01-01	ACCOR	A modifier	40	11636	27	FPU	1	0	0		0		M.	Claude	GUICHON	Mairie	8 Place Matras		51340 Vanault-les-Dames	    	    			8 Place du Matras			51340 VANAULT LES DAMES	    	    	
44 - Grand Est	51 - Marne	2 - Épernay	200055622 - Aÿ-Champagne	245100615	CC de la Grande Vallée de la Marne	CC	0	0	1992-12-16	1992-12-16	RDC		14	14572	32	FPU	1	1	0	assainissement/eau	1	 	M.	Dominique	LÉVÊQUE		Place Henri Martin		51160 AY	03 26 56 95 20	    	cc.grande-vallee-de-la-marne@wanadoo.fr	www.cc-grande-vallee-marne.fr				 	    	    	
44 - Grand Est	51 - Marne	2 - Épernay	215103557 - Montmirail	245100888	CC de la Brie Champenoise	CC	0	0	1996-12-30	1996-12-30	RDC		20	7680	33	ASZSE	0	0	0		1		M.	Etienne	DHUICQ		4 Rue des Fosses	BP 6	51210 MONTMIRAIL	03 26 81 36 61	03 26 81 38 84	accueil@cc-briechampenoise.fr					 	    	03 26 81 38 84	
44 - Grand Est	51 - Marne	2 - Épernay	215102302 - Fère-Champenoise	245100979	CC du Sud Marnais	CC	0	0	1998-12-30	1998-12-30	RDC		14	5948	28	AAZAE	0	0	0	 	1	 	M.	Michel	JACOB		150 Rue des Verriers		51230 Fère-Champenoise	03 26 42 52 36	03 26 04 20 52	cc-sud-marnais@wanadoo.fr					 	    	03 26 04 20 52	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215102070 - Écriennes	200003655	SIVU de gestion de l'aérodrome d'Écriennes-Vauclerc	SIVU	0	0	2006-05-02	2006-05-02	MEMNB		2	675	1	CBUDG	0	0	0		0		M.	JEAN-LUC	GUILLOT	Mairie d'Écriennes			51300 ECRIENNES	    	    			Mairie d'Ecriennes			51300 ECRIENNES	    	    	
44 - Grand Est	51 - Marne	2 - Épernay	200055622 - Aÿ-Champagne	200021228	SIVU du bassin versant Ay-Mutigny	SIVU	0	0	2009-06-23	2009-06-23	MEMNB		2	5491	1	CBUDG	0	0	0		0		M.	PIERRE	CHEVAL	Mairie			51160 AY	    	    						 	    	    	
44 - Grand Est	51 - Marne	2 - Épernay	215105636 - Verneuil	200032811	SI Élémentaire	SIVU	0	0	2012-05-21	2012-05-21	POPUL		4	1576	1	CBUDG	0	0	0		0		Mme	Sylvie	PICHELIN-NANSOT		4 Rue du CBR		51700 VERNEUIL	    	    						 	    	    	
44 - Grand Est	51 - Marne	3 - Reims	215101353 - Chenay	200042802	SIVU la crèche les Petits Galopins	SIVU	0	0	2014-01-01	2014-01-01	MEMNB		4	1672	1	CBUDG	0	0	0		0		Mme	Aurore	MARTINET	Mairie de Chenay			51140 Chenay	    	    						 	    	    	
44 - Grand Est	51 - Marne	1 - Châlons-en-Champagne	215101684 - Coupéville	200043529	SI de défense incendie et de secours du Mont de Noix	SIVU	0	0	2013-12-12	2014-01-01	MEMNB		7	1103	1	CBUDG	0	0	0		0		M.	CLAUDE	BOURLIER	Mairie de Coupeville			51240 COUPEVILLE	    	    						 	    	    	
44 - Grand Est	51 - Marne	2 - Épernay	215101262 - Châtillon-sur-Marne	200075000	SIVU du Châtillonnais	SIVU	0	0	2017-03-17	2017-03-31	MEMNB		12	2878	1	CBUDG	0	0	0		0		M.	Johann	LAPERSONNE		12 Rue de la Fontaine Corbillon		51700 Châtillon sur Marne	    	    	sivi.chatillonnais.sante@orange.fr		12 rue Fontaine Corbillon			51700 CHATILLON-SUR-MARNE	03 26 58 34 45	    	
44 - Grand Est	51 - Marne	2 - Épernay	215102120 - Épernay	200084788	SI de gestion de l'école de musique d'Épernay et sa région	SIVU	0	0	1992-03-27	1992-03-27	MEMNB		6	32959	1	CFISC	0	0	0		0		M.	Christian	Demongin	Mairie			51200 Epernay	03 26 53 36 00	03 26 51 97 45	epernay.communication@wanadoo.fr					 	    	03 26 51 97 45	
44 - Grand Est	51 - Marne	1 - Châlons-en-Champagne	215102914 - Juvigny	200101046	SI des Argennols	SIVU	0	0	2023-06-29	2023-07-01	MEMNB		7	4364	1	CBUDG	0	0	0		0		M.	FABRICE	REGNAULT	22 RUE PRINCIPALE			51150 JUVIGNY	    	    						 	    	    	
44 - Grand Est	51 - Marne	2 - Épernay	215100843 - Broussy-le-Grand	255100117	SM intercommunal du Mont Août (SMIDEP)	SIVU	0	0	1966-04-28	1966-04-28	MEMNB		12	3502	1	CBUDG	0	0	0		0		M.	BERNARD	POIREL	Mairie			51230 BROUSSY-le-GRAND	03 26 42 46 77	    			Mairie			51230 BROUSSY-le-GRAND	03 26 42 46 77	    	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215102658 - Haussignémont	255100224	SIDEP d'Haussignemont	SIVU	0	0	1967-07-07	1967-07-07	MEMNB		3	547	1	CBUDG	0	0	0	Surtaxe perçue sur les abonnés par le délégataire et reversée au syndicat	0		Mme	Danièle	GUILLEMIN	Mairie			51300 HAUSSIGNEMONT	03 26 73 77 10	    			Mairie			51300 HAUSSIGNEMONT	03 26 73 77 10	    	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215102955 - Larzicourt	255100273	SIDEP de Larzicourt	SIVU	0	0	1948-05-20	1948-05-20	MEMNB		4	673	1	CBUDG	0	0	0	Surtaxe perçue sur les abonnés par le délégataire et reversée au syndicat	0		M.	REGIS	BOURGOIN	Mairie			51290 LARZICOURT	03 26 72 62 47	    			Mairie			51290 LARZICOURT	03 26 72 62 47	    	
44 - Grand Est	51 - Marne	1 - Châlons-en-Champagne	215101395 - Chepy	255100323	SIDEP du Mont Louvet	SIVU	0	0	1960-10-21	1960-10-21	POPUL		5	4066	1	CBUDG	0	0	0		0		M.	Michel	LALLEMENT	Mairie			51240 Chepy	03 26 67 54 99	03 26 67 54 99						 	    	03 26 67 54 99	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215103870 - Outines	255100372	SIAEP d'Outines - Châtillon-sur-Broué - Drosnay	SIVU	0	0	1947-06-11	1947-06-11	MEMNB		3	417	1	CBUDG	0	0	0	Surtaxe perçue sur les abonnés par le délégataire et reversée au syndicat	0	 	M.	JEAN-CLAUDE	PARFAIT	Mairie	4 Place de l Église		51290 OUTINES	03 26 72 57 60	03 26 72 57 60	mairie.outines@wanadoo.fr		Mairie			51290 OUTINES	03 26 72 57 60	03 26 72 57 60	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215100884 - Brusson	255100398	SIDEP de Ponthion - Brusson	SIVU	0	0	1968-04-08	1968-04-08	MEMNB		2	294	1	CBUDG	0	0	0	Surtaxe perçue sur les abonnés par le délégataire et reversée au syndicat	0		Mme	NICOLE	VIDAL	Mairie			51300 BRUSSON	03 26 73 88 90	    	mairiedebrusson@wanadoo.fr		Mairie			51300 BRUSSON	03 26 73 88 90	    	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215105586 - Vavray-le-Petit	255100497	SIDEP de Vavray-le-Petit	SIVU	0	0	1964-10-30	1964-10-30	MEMNB		2	194	1	CBUDG	0	0	0	Surtaxe perçue sur les abonnés par le délégataire et reversée au syndicat	0	 	M.	DOMINIQUE	LAVANDIER	Mairie			51300 VAVRAY-LE-PETIT	03 26 72 49 19	    			Mairie			51300 VAVRAY-LE-PETIT	    	    	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215103110 - Luxémont-et-Villotte	255100513	SIDEP Vivaulux	SIVU	0	0	1959-06-04	1959-06-04	MEMNB		3	1197	1	CBUDG	0	0	0	Surtaxe perçue sur les abonnés par le délégataire et reversée au syndicat	0	 	M.	GILLES	GAGNEUX	Mairie			51300 LUXEMONT-VILLOTTE	03 26 74 46 79	    			Mairie			51300 LUXEMONT-VILLOTTE	03 26 74 46 79	    	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215100553 - Bignicourt-sur-Saulx	255100620	SIDEP de Bignicourt-sur-Saulx - Étrepy	SIVU	0	0	1973-02-28	1973-02-28	MEMNB		3	369	1	CBUDG	0	0	0	Surtaxe perçue sur les abonnés par le délégataire et reversée au syndicat	0	 	M.	JACQUES	NUYTTENS	Mairie			51340 BIGNICOURT-SUR-SAULX	03 26 41 02 55	    			Mairie			51340 BIGNICOURT-SUR-SAULX	03 26 73 04 89	    	
44 - Grand Est	51 - Marne	2 - Épernay	215103227 - Mareuil-le-Port	255101180	SIVU scolaire de Mareuil-le-Port	SIVU	0	0	1961-12-01	1961-12-01	MEMNB		18	6923	3	CBUDG	0	0	0		0		M.	Daniel	GAGNEUR		Rue du Professeur Nicaise		51700 MAREUIL-le-PORT	03 26 58 01 77	    			Rue du Professeur Nicaise			51700 MAREUIL-le-PORT	03 26 58 01 77	    	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215105123 - Somsois	255101230	SIVU de ramassage scolaire de Somsois	SIVU	0	0	1961-09-04	1961-09-04	MEMNB		14	2133	1	CBUDG	0	0	0		0		M.	PHILIPPE	VEBER	Mairie			51290 SOMSOIS	03 26 74 37 68	03 26 74 37 68			Mairie			51290 SOMSOIS	03 26 74 37 68	03 26 74 37 68	
44 - Grand Est	51 - Marne	2 - Épernay	215100025 - Saint-Martin-d'Ablois	255101347	SIVU de transports scolaires de Saint-Martin-d'Ablois	SIVU	0	0	1971-11-26	1971-11-26	MEMNB		4	3172	1	CBUDG	0	0	0		0		Mme	CLAUDETTE	JOFFRE	Mairie			51530 SAINT-MARTIN-d'ABLOIS	03 26 59 95 00	03 26 59 00 85			Mairie			51530 SAINT-MARTIN-d'ABLOIS	03 26 59 95 00	03 26 59 00 85	
44 - Grand Est	51 - Marne	4 - Vitry-le-François	215100157 - Arrigny	255101370	SM de transports scolaires du Der	SIVU	0	0	1975-12-04	1975-12-04	MEMNB		14	2782	1	CBUDG	0	0	0		0		M.	JEAN-PATRICK	REUSE	Mairie			51290 ARRIGNY	03 26 72 60 57	03 26 72 60 57			Mairie			51290 ARRIGNY	03 26 72 60 46	03 26 72 60 57	
44 - Grand Est	51 - Marne	2 - Épernay	215102443 - Fromentières	255101859	SIVU d'aménagement hydraulique de la Verdonnelle	SIVU	0	0	1986-02-13	1986-02-13	MEMNB		10	2290	1	CBUDG	0	0	0		0		Mme	Christine	MINEAU	Mairie			51210 FROMENTIERES	03 26 81 61 94	    			Mairie			51210 FROMENTIERES	03 26 81 61 94	    	
44 - Grand Est	51 - Marne	2 - Épernay	215101940 - Dizy	255101909	SIVU du bassin versant Ay-Hautvillers	SIVU	0	0	1987-06-22	1987-06-22	MEMNB		4	3043	1	CBUDG	0	0	0		0		M.	Jean-Marie	LALLEMENT	Mairie de Dizy			51530 DIZY	03 26 55 27 63	03 26 54 22 87			Mairie de Dizy			51530 Dizy	03 26 55 27 63	03 26 54 22 87	
44 - Grand Est	51 - Marne	1 - Châlons-en-Champagne	215101502 - Condé-sur-Marne	255101990	SM de démoustication en aval de Châlons-en-Champagne	SIVU	0	0	1988-07-11	1988-07-11	AUTR	1 délégué titulaire et un délégué suppléant pour les communes, 5 pour la CC de Condé	14	9228	1	CBUDG	0	0	0	 	0	 	M.	Gilles	BARRE	Mairie			51150 Condé sur Marne	03 26 67 98 77	03 26 64 27 33						 	    	03 26 64 27 33	
