Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
75 - Nouvelle Aquitaine	33 - Gironde	2 - Bordeaux	213300635 - Bordeaux	243300316	Bordeaux Métropole	METRO	0	0	1966-12-31	1966-12-31	RDC		28	842622	57	FPU	0	1	0	 	1	 	M.	Alain	ANZIANI		Esplanade Charles de Gaulle		33076 BORDEAUX CEDEX	05 56 99 84 84	05 56 96 19 40	dg@bordeaux-metropole.fr 	www.bordeaux-metropole.fr	ESPLANADE CHARLES DE GAULLE			33076 BORDEAUX CEDEX	05 56 99 84 84	05 56 96 19 40	
75 - Nouvelle Aquitaine	33 - Gironde	5 - Libourne	213302433 - Libourne	200070092	CA du Libournais	CA	0	0	2016-11-29	2017-01-01	RDC		45	94147	49	FPU	0	0	0		0		M.	Philippe	BUISSON		42 Rue Jules Ferry		33500 LIBOURNE CEDEX	05 57 25 01 51	05 57 25 45 75	contact@lacali.fr					 	    	05 57 25 45 75	
75 - Nouvelle Aquitaine	33 - Gironde	6 - Arcachon	213300098 - Arcachon	243300563	CA Bassin d'Arcachon Sud (COBAS)	CA	0	0	2001-12-07	2001-12-07	ACCOR		4	70553	48	FPU	0	0	0	 	1	 	Mme	Marie-Hélène	DES ESGAULX		2 Allée d'Espagne		33120 ARCACHON CEDEX	05 56 22 33 44	05 56 22 33 49	cobas@agglo-cobas.fr		2, allée d' Espagne			33120 ARCACHON CEDEX	05 56 22 33 44	05 56 22 33 49	
75 - Nouvelle Aquitaine	33 - Gironde	6 - Arcachon	213300056 - Andernos-les-Bains	243301504	CA du Bassin d'Arcachon Nord	CA	0	0	2003-11-18	2003-11-18	ACCOR		8	72921	40	FPU	0	0	0	 	1	 	M.	Bruno	LAFON		46 Avenue des Colonies		33510 ANDERNOS-LES-BAINS	05 57 71 97 00	05 57 71 80 44	contact@coban-atlantique.fr					 	    	05 57 71 80 44	
75 - Nouvelle Aquitaine	33 - Gironde	1 - Blaye	213300585 - Blaye	200023794	CC de Blaye	CC	0	0	2009-12-21	2009-12-21	RDC		20	20761	29	FPU	0	0	0	 	1	 	M.	Denis	BALDÈS	Maison des Services au Public	32 Rue des Maçons	BP 34	33393 BLAYE Cedex	05 57 42 33 33	05 57 42 83 81	ccb@ccb-blaye.com					 	    	05 57 42 83 81	
75 - Nouvelle Aquitaine	33 - Gironde	5 - Libourne	213303944 - Saint-Émilion	200035533	CC du Grand Saint Emilionnais	CC	0	0	2012-12-14	2013-01-01	RDC		22	14556	27	FPU	0	0	0	 	0	 	M.	Bernard	LAURET	2 Darthus			33330 SAINT-EMILION	    	    	contact@grand-st-emilionnais.org   contact@grand-st-emilionnais.org					 	    	    	
75 - Nouvelle Aquitaine	33 - Gironde	3 - Langon	213302797 - Mazères	200043974	CC du Sud Gironde	CC	0	0	2013-12-23	2014-01-01	RDC		37	40187	30	FPU	0	0	0		0		M.	Jérôme	GUILLEM	Parc d'activités du Pays de Langon	21 Rue des Acacias 		33210 MAZERES	    	    	contact@cdcsudgironde.fr    secretariat@cdcsudgironde.fr					 	05 56 63 81 10	    	
75 - Nouvelle Aquitaine	33 - Gironde	3 - Langon	213300361 - Bazas	200043982	CC du Bazadais	CC	0	0	2013-12-23	2014-01-01	RDC		31	16341	28	FPU	0	0	0		0		Mme	Nicole	COUSTET	Lieu-dit Coucut	Route de Lerm		33430 BAZAS	05 56 25 28 81	05 56 25 99 82	contactgrignols@cdcdubazadais.fr            dgs@cdcdubazadais.fr					 	05 56 25 28 81	05 56 25 99 82	
75 - Nouvelle Aquitaine	33 - Gironde	3 - Langon	213303522 - La Réole	200044394	CC du Réolais en Sud Gironde	CC	0	0	2013-05-30	2014-01-01	ACCOR		41	24414	30	FPU	0	0	0		0		M.	Francis	ZAGHET		81 Rue Armand Caduc		33190 LA REOLE	05 56 71 71 57	05 56 71 23 37	dgs@reolaisensudgironde.fr					 	    	05 56 71 23 37	
75 - Nouvelle Aquitaine	33 - Gironde	3 - Langon	213303274 - Podensac	200069581	CC Convergence Garonne	CC	0	0	2016-12-05	2017-01-01	RDC		27	33255	29	FPU	0	0	0		0		M.	Jocelyn	DORÉ		12 Rue du Maréchal Leclerc de Hauteclocque		33720 PODENSAC	05 56 76 38 00	05 56 76 38 01	secretariat-direction@convergence-garonne.fr 					 	    	05 56 76 38 01	
75 - Nouvelle Aquitaine	33 - Gironde	3 - Langon	213305063 - Sauveterre-de-Guyenne	200069599	CC Rurales de l'Entre-Deux-Mers	CC	0	0	2016-12-05	2017-01-01	RDC		50	16848	33	FPU	0	0	0		0		M.	Daniel	BARBE		4-6 Rue des Martyrs de la Résistance et de la Déportation		33540 SAUVETERRE DE GUYENNE	05 56 71 81 76	05 56 71 89 01	ccpsdg@wanadoo.fr					 	05 56 71 81 76	05 56 71 89 01	
75 - Nouvelle Aquitaine	33 - Gironde	4 - Lesparre-Médoc	213303142 - Pauillac	200069995	CC Médoc Coeur de Presqu'île	CC	0	0	2016-12-05	2017-01-01	ACCOR		18	31226	31	FPU	0	0	0		0		M.	Jean-Marie	FERON	Pradina	Rue des Gabarreys		33250 PAUILLAC	05 56 41 66 60	    	i.thevenin@medoc-cpi.fr      jc.daudou@medoc-cpi.fr		10 place du Méréchal Foch			33341 LESPARRE CEDEX	    	05 56 59 99 68	
75 - Nouvelle Aquitaine	33 - Gironde	4 - Lesparre-Médoc	213305147 - Soulac-sur-Mer	200070720	CC Médoc Atlantique	CC	0	0	2016-12-12	2017-01-01	ACCOR		14	27943	31	FPU	0	0	0		0		M.	Xavier	PINTAT		9 Rue Maréchal d'Ornano		33780 SOULAC SUR MER	05 56 73 29 26	05 56 73 65 90	sg@ccmedocatlantique.fr	www.medoc-atlantique.com				33780 SOULAC SUR MER	    	05 56 73 65 90	
75 - Nouvelle Aquitaine	33 - Gironde	1 - Blaye	213300734 - Braud-et-Saint-Louis	243300811	CC de l'Estuaire	CC	0	0	1995-04-14	1995-04-14	ACCOR		14	16127	30	FPU	0	1	0	 	1	 	Mme	Lydia	HÉRAUD		38 Avenue de la République		33820 BRAUD ET SAINT LOUIS	05 57 42 61 99	05 57 42 64 40	contact@cc-estuaire.fr   					 	    	05 57 42 64 40	
75 - Nouvelle Aquitaine	33 - Gironde	2 - Bordeaux	213301229 - Cestas	243301165	CC Jalle-Eau-Bourde	CC	0	0	1999-12-21	1999-12-21	RDC		3	32543	32	FPU	0	1	0	 	1	 	M.	Pierre	DUCOUT	Mairie	2 Avenue du Baron Haussmann	BP 9	33611 CESTAS	05 56 78 13 00	05 56 78 19 16	geraldine.meillon@mairie-cestas.fr                      cdc.jalleaubourde@mairie-cestas.fr		COMMUNAUTE DE COMMUNES JALLE-EAU BOURDE		B.P.9	33611 CESTAS CEDEX	05 56 78 84 87	05 56 78 19 16	
75 - Nouvelle Aquitaine	33 - Gironde	1 - Blaye	213304736 - Saint-Savin	243301181	CC Latitude Nord Gironde	CC	0	0	1999-12-27	1999-12-27	ACCOR		12	21624	30	FPU	0	1	0	 	1	 	M.	Éric	HAPPERT	Maison de la CDC			33920 SAINT SAVIN	05 57 58 98 87	05 57 58 97 98	contact@latitude-nord-gironde.fr		MAISON DE LA CDC			33920 SAINT SAVIN	05 57 58 98 87	05 57 58 97 98	
75 - Nouvelle Aquitaine	33 - Gironde	2 - Bordeaux	213301401 - Créon	243301215	CC du Créonnais	CC	0	0	2000-07-13	2000-07-13	ACCOR		15	18566	27	FPU	1	0	0	 	1	 	M.	Alain	ZABULON		39 Boulevard Victor Hugo		33670 CRÉON	05 57 34 57 01	05 57 34 57 09	contact.cdc@cc-creonnais.fr             pascale.berthelot.dgs@cc-creonnais.fr	www.cc-creonnais.fr	25 route de Créon			33670 SADIRAC	05 57 34 57 01	05 57 34 57 09	
