Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	3 - Issoire	216301788 - Issoire	200070407	CA Agglo Pays d'Issoire	CA	0	0	2016-12-06	2017-01-01	RDC		88	58003	46	FPU	0	0	0		0		M.	Bertrand	BARRAUD		20 Rue de la Liberté		63500 ISSOIRE	    	    			20 rue de la liberté			63500 ISSOIRE	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	4 - Riom	216303008 - Riom	200070753	CA Riom Limagne et Volcans	CA	0	0	2016-12-12	2017-01-01	RDC		31	69663	46	FPU	0	0	0		0		M.	Frédéric	BONNICHON		5 Mail Jost Pasquier		63200 RIOM	    	    			5 mail Jost Pasquier			63200 RIOM	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216300400 - Billom	200067627	CC Billom Communauté	CC	0	0	2016-11-10	2017-01-01	ACCOR		25	26466	34	FPU	0	0	0		0		M.	Gérard	GUILLAUME		35 Avenue de la Gare		63160 BILLOM	    	    	contact@billomcommunaute.fr		35 Avenue de la Gare			63160 BILLOM	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	3 - Issoire	216303057 - Rochefort-Montagne	200069169	CC Dômes Sancy Artense	CC	0	0	2016-12-01	2017-01-01	ACCOR		27	13049	32	FPU	0	0	0		0		M.	Alain	MERCIER		23 Route de Clermont		63210 ROCHEFORT-MONTAGNE	    	    			23 Route de Clermont			63210 ROCHEFORT-MONTAGNE	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216304550 - Veyre-Monton	200069177	CC Mond'Arverne Communauté	CC	0	0	2016-12-01	2017-01-01	RDC		27	41566	28	FPU	0	0	0		0		M.	Pascal	PIGOT	ZA Pra de Serre			63960 Veyre-Monton	    	    			ZA Pra de Serre			63960 Veyre-Monton	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	5 - Thiers	216304303 - Thiers	200070712	CC Thiers Dore et Montagne	CC	0	0	2016-12-12	2017-01-01	RDC		30	37613	33	FPU	0	0	0		0		M.	Tony	BERNARD		47 Avenue du Général de Gaulle		63300 THIERS	    	    			47 avenue du Général de Gaulle			63300 THIERS	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	1 - Ambert	216300038 - Ambert	200070761	CC Ambert Livradois Forez	CC	0	0	2016-12-12	2017-01-01	RDC		58	28347	40	FPU	0	0	0		0		M.	Daniel	FORESTIER		15 Rue du 11 Novembre		63600 AMBERT	    	    			15 rue du 11 novembre			63600 AMBERT	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	4 - Riom	216300012 - Aigueperse	200071199	CC Plaine Limagne	CC	0	0	2016-12-13	2017-01-01	RDC		25	21767	29	FPU	0	0	0		0		M.	Claude	RAYNAUD	Maison Nord Limagne	158 Grand Rue		63260 AIGUEPERSE	    	    			Maison Nord Limagne	158 Grand Rue		63260 AIGUEPERSE	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	4 - Riom	216302836 - Pontaumur	200071215	CC Chavanon Combrailles et Volcans	CC	0	0	2016-12-13	2017-01-01	RDC		36	12989	31	FPU	0	0	0		0		M.	Cédric	ROUGHEOL		6 Avenue du Marronnier		63380 PONTAUMUR	    	    			6 avenue du Marronnier			63380 PONTAUMUR	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	4 - Riom	216303388 - Saint-Éloy-les-Mines	200072080	CC du Pays de Saint-Eloy	CC	0	0	2016-12-19	2017-01-01	RDC		34	16032	31	FPU	0	0	0		0		M.	Laurent	DUMAS		Rue du Puits Saint-Joseph		63700 SAINT ELOY LES MINES	    	    			Rue du puits Saint-Joseph			63700 SAINT ELOY LES MINES	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	4 - Riom	216302067 - Manzat	200072098	CC Combrailles Sioule et Morge	CC	0	0	2016-12-19	2017-01-01	RDC		29	20037	30	FPU	0	0	0		0		M.	Sébastien	GUILLOT		Rue Victor Mazuel		63410 MANZAT	    	    			rue Victor Mazuel			63410 MANZAT	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	3 - Issoire	216302364 - Mont-Dore	246300966	CC du Massif du Sancy	CC	0	1	1999-12-10	1999-12-10	RDC		20	9816	27	FPU	0	0	0	 	0	 	M.	Lionel	GAY		6 Avenue du Général Leclerc		63240 LE MONT DORE	    	    			6 avenue du Général Leclerc	B.P. 94		63240 LE MONT DORE	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	5 - Thiers	216301952 - Lezoux	246301097	CC Entre Dore et Allier	CC	0	0	1998-12-18	1998-12-18	ACCOR		14	19847	29	FPU	0	0	0	 	0	 	Mme	Elisabeth	BRUSSAT		29 Avenue de Verdun		63190 LEZOUX	    	    			29 avenue de Verdun			63190 LEZOUX	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216300707 - Ceyrat	200000198	SI service de soins infirmiers à domicile cantonal de l'Artière (SSIAD)	SIVU	0	0	2005-10-13	2005-10-13	AUTR		3	21327	1	AUCUN	0	0	0	 	0	 	Mme	Valérie	BATISSE	EHPAD	28 Rue Vercingétorix		63122 Ceyrat	    	    			Etablissement d'Hébergement pour personnes Agées	EHPAD	28 rue Vercingétorix	63122 CEYRAT	    	    	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216300756 - Chamalières	200002798	SI de soins à domicile dénommé ''CR (Chamalières Royat)''	SIVU	0	0	2006-04-05	2006-04-05	MEMNB		2	22495	1	AUCUN	0	0	0	 	0	 	Mme	Jacqueline	BUONOCORE		19 Bis Avenue des Thermes		63400 CHAMALIERES	    	    			19 bis, avenue des Thermes			63400 CHAMALIERES	    	    	
